forecast_date,state,electoral_vote,party,win,p_10,proj_vote,p_90,tipping_point,poll_avg,fund_avg,ss_avg,experts_avg,poll_weight,fund_weight,ss_weight,experts_weight
01/01/20,Iowa,6,dem,37.996,38.210,46.579,54.948,2.620,46.371,47.381,46.760,45.206,38.44490707905358,75,15,40
01/01/20,Iowa,6,third,0.000,1.415,3.931,6.447,2.620,4.376,3.376,4.376,4.376,38.44490707905358,75,15,40
01/01/20,Kansas,6,gop,96.974,48.270,56.698,65.125,0.002,0.000,56.323,54.790,58.117,0,75,15,40
01/01/20,Kansas,6,dem,3.026,30.286,38.713,47.141,0.002,0.000,39.512,40.044,36.717,0,75,15,40
01/01/20,Kansas,6,third,0.000,1.652,4.589,7.526,0.002,0.000,4.166,5.166,5.166,0,75,15,40
01/01/20,Kentucky,8,gop,99.812,54.212,62.292,70.371,0.000,54.569,61.651,62.250,63.712,1.0509797024936036,75,15,40
01/01/20,Kentucky,8,dem,0.188,27.112,35.192,43.271,0.000,42.342,36.260,34.662,33.200,1.0509797024936036,75,15,40
01/01/20,Kentucky,8,third,0.000,0.906,2.516,4.127,0.000,3.089,2.089,3.089,3.089,1.0509797024936036,75,15,40
01/01/20,Louisiana,8,gop,98.818,50.945,59.151,67.357,0.000,0.000,58.495,59.110,60.396,0,75,15,40
01/01/20,Louisiana,8,dem,1.182,29.479,37.686,45.892,0.000,0.000,38.765,37.150,35.864,0,75,15,40
01/01/20,Louisiana,8,third,0.000,1.139,3.163,5.187,0.000,0.000,2.740,3.740,3.740,0,75,15,40
01/01/20,Maine,2,gop,21.116,33.754,42.857,51.961,0.598,42.438,42.321,42.081,44.183,2.787669554209243,75,15,40
01/01/20,Maine,2,dem,78.884,42.375,51.478,60.582,0.598,51.333,52.450,51.690,49.587,2.787669554209243,75,15,40
01/01/20,Maine,2,third,0.000,2.039,5.665,9.290,0.598,6.230,5.230,6.230,6.230,2.787669554209243,75,15,40
01/01/20,Maryland,10,gop,0.154,25.948,34.154,42.360,0.000,0.000,33.513,34.259,35.317,0,75,15,40
01/01/20,Maryland,10,dem,99.846,54.742,62.948,71.154,0.000,0.000,64.012,62.267,61.209,0,75,15,40
01/01/20,Maryland,10,third,0.000,1.043,2.898,4.752,0.000,0.000,2.475,3.475,3.475,0,75,15,40
01/01/20,Massachusetts,11,gop,0.344,22.861,32.118,41.375,0.006,0.000,31.398,32.850,33.193,0,75,15,40
