state,cand,vote,delegates,radius,xValue,yValue,abbrev
Wyoming,Bloomberg,14.9,0,0.0,214,177,WY
District of Columbia,Bloomberg,21.0,5,4.780653702998803,536,193,DC
Alabama,Booker,0.0,0,0.0,413,332,AL
Alaska,Booker,0.0,0,0.0,41,19,AK
Arizona,Booker,0.0,0,0.0,172,282,AZ
Arkansas,Booker,0.0,0,0.0,325,290,AR
California,Booker,0.0,0,0.0,103,237,CA
Colorado,Booker,0.0,0,0.0,224,249,CO
Connecticut,Booker,0.0,0,0.0,586,128,CT
Delaware,Booker,0.0,0,0.0,557,183,DE
Florida,Booker,0.0,0,0.0,483,380,FL
Georgia,Booker,0.0,0,0.0,443,298,GA
Hawaii,Booker,0.0,0,0.0,88,372,HI
Idaho,Booker,0.0,0,0.0,188,173,ID
Illinois,Booker,0.0,0,0.0,359,207,IL
Indiana,Booker,0.0,0,0.0,413,207,IN
Iowa,Booker,0.0,0,0.0,306,195,IA
Kansas,Booker,0.0,0,0.0,266,248,KS
Kentucky,Booker,0.0,0,0.0,411,251,KY
Louisiana,Booker,0.0,0,0.0,326,335,LA
Maine,Booker,0.0,0,0.0,628,26,ME
Maryland,Booker,0.0,0,0.0,505,185,MD
Massachusetts,Booker,0.0,0,0.0,607,89,MA
Michigan,Booker,0.0,0,0.0,418,149,MI
Minnesota,Booker,0.0,0,0.0,304,142,MN
Mississippi,Booker,0.0,0,0.0,373,324,MS
Missouri,Booker,0.0,0,0.0,329,251,MO
Montana,Booker,0.0,0,0.0,206,131,MT
Nebraska,Booker,0.0,0,0.0,258,209,NE
Nevada,Booker,0.0,0,0.0,167,220,NV
New Hampshire,Booker,0.0,0,0.0,612,54,NH
New Jersey,Booker,0.0,0,0.0,551,147,NJ
New Mexico,Booker,0.0,0,0.0,215,303,NM
New York,Booker,0.0,0,0.0,548,81,NY
North Carolina,Booker,0.0,0,0.0,499,278,NC
North Dakota,Booker,0.0,0,0.0,257,136,ND
Ohio,Booker,0.0,0,0.0,459,191,OH
Oklahoma,Booker,0.0,0,0.0,270,294,OK
Oregon,Booker,0.0,0,0.0,124,176,OR
Pennsylvania,Booker,0.0,0,0.0,498,132,PA
Rhode Island,Booker,0.0,0,0.0,619,126,RI
South Carolina,Booker,0.0,0,0.0,487,322,SC
South Dakota,Booker,0.0,0,0.0,257,167,SD
Tennessee,Booker,0.0,0,0.0,379,284,TN
Texas,Booker,0.0,0,0.0,271,355,TX
Utah,Booker,0.0,0,0.0,204,218,UT
Vermont,Booker,0.0,0,0.0,585,47,VT
Virginia,Booker,0.0,0,0.0,508,229,VA
Washington,Booker,0.0,0,0.0,154,131,WA
West Virginia,Booker,0.0,0,0.0,451,242,WV
Wisconsin,Booker,0.0,0,0.0,359,146,WI
Wyoming,Booker,0.0,0,0.0,214,177,WY
District of Columbia,Booker,0.0,0,0.0,536,193,DC
Alabama,Buttigieg,7.1,0,0.0,413,332,AL
Alaska,Buttigieg,10.7,0,0.0,41,19,AK
Arizona,Buttigieg,11.3,2,3.023550881198871,172,282,AZ
Arkansas,Buttigieg,12.1,1,2.1379733313582827,325,290,AR
California,Buttigieg,12.0,19,9.319209695375754,103,237,CA
Colorado,Buttigieg,12.4,3,3.7030784351398367,224,249,CO
Connecticut,Buttigieg,12.6,3,3.7030784351398367,586,128,CT
Delaware,Buttigieg,10.6,0,0.0,557,183,DE
Florida,Buttigieg,9.1,0,0.0,483,380,FL
Georgia,Buttigieg,8.2,0,0.0,443,298,GA
Hawaii,Buttigieg,9.5,0,0.0,88,372,HI
Idaho,Buttigieg,10.7,0,0.0,188,173,ID
Illinois,Buttigieg,14.1,12,7.406156870279673,359,207,IL
Indiana,Buttigieg,18.9,18,9.070652643596613,413,207,IN
Iowa,Buttigieg,26.2,14,7.999563708002411,306,195,IA
Kansas,Buttigieg,14.6,3,3.7030784351398367,266,248,KS
Kentucky,Buttigieg,8.5,0,0.0,411,251,KY
Louisiana,Buttigieg,6.2,0,0.0,326,335,LA
Maine,Buttigieg,15.5,5,4.780653702998803,628,26,ME
Maryland,Buttigieg,10.2,1,2.1379733313582827,505,185,MD
Massachusetts,Buttigieg,14.8,8,6.047101762397742,607,89,MA
Michigan,Buttigieg,12.7,7,5.656545744462307,418,149,MI
Minnesota,Buttigieg,9.8,1,2.1379733313582827,304,142,MN
Mississippi,Buttigieg,5.7,0,0.0,373,324,MS
Missouri,Buttigieg,10.3,1,2.1379733313582827,329,251,MO
Montana,Buttigieg,11.7,0,0.0,206,131,MT
Nebraska,Buttigieg,14.6,3,3.7030784351398367,258,209,NE
Nevada,Buttigieg,15.3,3,3.7030784351398367,167,220,NV
New Hampshire,Buttigieg,24.2,9,6.413919994074849,612,54,NH
New Jersey,Buttigieg,12.0,6,5.236943745506094,551,147,NJ
New Mexico,Buttigieg,10.5,1,2.1379733313582827,215,303,NM
New York,Buttigieg,10.0,3,3.7030784351398367,548,81,NY
North Carolina,Buttigieg,10.6,2,3.023550881198871,499,278,NC
