state,statecat,value,label,xValue,yValue,rank
Pennsylvania,Florida,65.9,PA,730.3535,200.856,14.0
Rhode Island,Florida,59.9,RI,-1000.0,-1000.0,22.0
South Carolina,Florida,67.9,SC,712.4395,315.6387,11.0
South Dakota,Florida,53.1,SD,468.0742,163.5166,32.0
Tennessee,Florida,69.8,TN,640.8594,294.8193,7.0
Texas,Florida,72.2,TX,480.9902,374.2861,5.0
Utah,Florida,41.3,UT,330.1084,234.978,49.0
Vermont,Florida,44.9,VT,-1000.0,-1000.0,46.0
Virginia,Florida,67.4,VA,731.0264,252.7842,12.0
Washington,Florida,37.6,WA,256.9365,88.0762,50.0
West Virginia,Florida,58.3,WV,701.0,243.0,24.0
Wisconsin,Florida,52.7,WI,585.2529,163.2588,34.0
Wyoming,Florida,47.8,WY,385.9287,179.6255,42.0
District of Columbia,Florida,42.3,DC,-1000.0,-1000.0,15.0
Alabama,Georgia,82.1,AL,637.0,338.6934,2.0
Alaska,Georgia,33.6,AK,245.0,400.0,44.0
Arizona,Georgia,37.7,AZ,315.0,306.5801,38.0
Arkansas,Georgia,58.3,AR,560.0,315.6387,11.0
California,Georgia,43.8,CA,223.0,253.9219,24.0
Colorado,Georgia,43.8,CO,400.0,245.5645,25.0
Connecticut,Georgia,43.1,CT,-1000.0,-1000.0,27.0
Delaware,Georgia,55.4,DE,-1000.0,-1000.0,14.0
Florida,Georgia,67.6,FL,714.0,397.8154,6.0
Georgia,Georgia,99.8,GA,680.0117,335.2354,0.0
Hawaii,Georgia,38.6,HI,380.0,465.0,36.0
Idaho,Georgia,31.7,ID,310.1851,155.0,48.0
Illinois,Georgia,60.1,IL,596.6602,231.2954,9.0
Indiana,Georgia,51.6,IN,633.4111,228.4214,20.0
Iowa,Georgia,36.4,IA,545.8457,202.6782,40.0
Kansas,Georgia,41.7,KS,487.0,259.1592,30.0
Kentucky,Georgia,51.7,KY,655.1484,264.9658,19.0
Louisiana,Georgia,70.9,LA,561.4404,369.8135,4.0
Maine,Georgia,37.2,ME,807.3105,109.855,39.0
Maryland,Georgia,76.8,MD,-1000.0,-1000.0,3.0
Massachusetts,Georgia,39.4,MA,-1000.0,-1000.0,34.0
Michigan,Georgia,52.3,MI,645.6465,181.3647,18.0
Minnesota,Georgia,40.0,MN,530.8594,141.5874,32.0
Mississippi,Georgia,67.1,MS,598.6016,342.1514,7.0
Missouri,Georgia,49.9,MO,557.0,261.123,21.0
Montana,Georgia,31.8,MT,370.0981,112.7705,47.0
Nebraska,Georgia,40.4,NE,473.8364,210.0527,31.0
Nevada,Georgia,36.3,NV,267.8765,219.0957,41.0
New Hampshire,Georgia,39.8,NH,-1000.0,-1000.0,33.0
New Jersey,Georgia,55.8,NJ,785.0,210.0,13.0
New Mexico,Georgia,38.9,NM,385.3774,314.1035,35.0
New York,Georgia,54.1,NY,753.5781,163.2588,15.0
North Carolina,Georgia,69.0,NC,728.6084,284.5029,5.0
North Dakota,Georgia,34.0,ND,467.0742,117.3823,43.0
Ohio,Georgia,57.9,OH,670.7197,219.4883,12.0
Oklahoma,Georgia,41.8,OK,500.1963,306.418,29.0
Oregon,Georgia,31.4,OR,240.2783,139.5654,49.0
Pennsylvania,Georgia,53.2,PA,730.3535,200.856,17.0
Rhode Island,Georgia,47.5,RI,-1000.0,-1000.0,22.0
South Carolina,Georgia,86.2,SC,712.4395,315.6387,1.0
South Dakota,Georgia,37.9,SD,468.0742,163.5166,37.0
Tennessee,Georgia,65.5,TN,640.8594,294.8193,8.0
Texas,Georgia,59.4,TX,480.9902,374.2861,10.0
Utah,Georgia,31.9,UT,330.1084,234.978,46.0
Vermont,Georgia,36.0,VT,-1000.0,-1000.0,42.0
Virginia,Georgia,53.4,VA,731.0264,252.7842,16.0
Washington,Georgia,25.4,WA,256.9365,88.0762,50.0
West Virginia,Georgia,42.7,WV,701.0,243.0,28.0
Wisconsin,Georgia,43.4,WI,585.2529,163.2588,26.0
Wyoming,Georgia,32.6,WY,385.9287,179.6255,45.0
District of Columbia,Georgia,46.9,DC,-1000.0,-1000.0,14.0
Alabama,Hawaii,48.3,AL,637.0,338.6934,
Alaska,Hawaii,43.8,AK,245.0,400.0,
Arizona,Hawaii,37.8,AZ,315.0,306.5801,
Arkansas,Hawaii,37.2,AR,560.0,315.6387,
California,Hawaii,60.5,CA,223.0,253.9219,
Colorado,Hawaii,49.6,CO,400.0,245.5645,
Connecticut,Hawaii,43.3,CT,-1000.0,-1000.0,
Delaware,Hawaii,40.4,DE,-1000.0,-1000.0,
Florida,Hawaii,44.3,FL,714.0,397.8154,
Georgia,Hawaii,41.1,GA,680.0117,335.2354,
Hawaii,Hawaii,99.8,HI,380.0,465.0,
Idaho,Hawaii,33.9,ID,310.1851,155.0,
Illinois,Hawaii,48.5,IL,596.6602,231.2954,
Indiana,Hawaii,45.4,IN,633.4111,228.4214,
Iowa,Hawaii,38.6,IA,545.8457,202.6782,
Kansas,Hawaii,36.6,KS,487.0,259.1592,
Kentucky,Hawaii,40.0,KY,655.1484,264.9658,
Louisiana,Hawaii,43.3,LA,561.4404,369.8135,
Maine,Hawaii,31.1,ME,807.3105,109.855,
Maryland,Hawaii,48.1,MD,-1000.0,-1000.0,
Massachusetts,Hawaii,45.8,MA,-1000.0,-1000.0,
Michigan,Hawaii,42.4,MI,645.6465,181.3647,
Minnesota,Hawaii,46.5,MN,530.8594,141.5874,
Mississippi,Hawaii,39.9,MS,598.6016,342.1514,
Missouri,Hawaii,45.8,MO,557.0,261.123,
Montana,Hawaii,31.3,MT,370.0981,112.7705,
Nebraska,Hawaii,36.6,NE,473.8364,210.0527,
Nevada,Hawaii,49.3,NV,267.8765,219.0957,
New Hampshire,Hawaii,39.9,NH,-1000.0,-1000.0,
New Jersey,Hawaii,45.7,NJ,785.0,210.0,
New Mexico,Hawaii,60.1,NM,385.3774,314.1035,
New York,Hawaii,50.9,NY,753.5781,163.2588,
North Carolina,Hawaii,42.0,NC,728.6084,284.5029,
North Dakota,Hawaii,29.6,ND,467.0742,117.3823,
Ohio,Hawaii,40.4,OH,670.7197,219.4883,
Oklahoma,Hawaii,32.0,OK,500.1963,306.418,
Oregon,Hawaii,42.2,OR,240.2783,139.5654,
Pennsylvania,Hawaii,44.4,PA,730.3535,200.856,
Rhode Island,Hawaii,43.0,RI,-1000.0,-1000.0,
South Carolina,Hawaii,39.4,SC,712.4395,315.6387,
South Dakota,Hawaii,34.1,SD,468.0742,163.5166,
Tennessee,Hawaii,41.2,TN,640.8594,294.8193,
Texas,Hawaii,50.2,TX,480.9902,374.2861,
Utah,Hawaii,34.6,UT,330.1084,234.978,
Vermont,Hawaii,42.1,VT,-1000.0,-1000.0,
Virginia,Hawaii,46.0,VA,731.0264,252.7842,
Washington,Hawaii,44.5,WA,256.9365,88.0762,
West Virginia,Hawaii,30.9,WV,701.0,243.0,
Wisconsin,Hawaii,44.9,WI,585.2529,163.2588,
Wyoming,Hawaii,29.7,WY,385.9287,179.6255,
District of Columbia,Hawaii,40.2,DC,-1000.0,-1000.0,
Alabama,Idaho,36.4,AL,637.0,338.6934,
Alaska,Idaho,58.0,AK,245.0,400.0,
Arizona,Idaho,66.1,AZ,315.0,306.5801,
Arkansas,Idaho,55.3,AR,560.0,315.6387,
California,Idaho,42.5,CA,223.0,253.9219,
Colorado,Idaho,58.5,CO,400.0,245.5645,
Connecticut,Idaho,58.9,CT,-1000.0,-1000.0,
Delaware,Idaho,52.8,DE,-1000.0,-1000.0,
Florida,Idaho,41.1,FL,714.0,397.8154,
Georgia,Idaho,30.4,GA,680.0117,335.2354,
Hawaii,Idaho,29.3,HI,380.0,465.0,
Idaho,Idaho,99.8,ID,310.1851,155.0,
Illinois,Idaho,46.2,IL,596.6602,231.2954,
Indiana,Idaho,50.0,IN,633.4111,228.4214,
Iowa,Idaho,68.4,IA,545.8457,202.6782,
Kansas,Idaho,77.5,KS,487.0,259.1592,
Kentucky,Idaho,57.5,KY,655.1484,264.9658,
Louisiana,Idaho,34.2,LA,561.4404,369.8135,
Maine,Idaho,72.5,ME,807.3105,109.855,
Maryland,Idaho,32.0,MD,-1000.0,-1000.0,
Massachusetts,Idaho,60.0,MA,-1000.0,-1000.0,
Michigan,Idaho,55.0,MI,645.6465,181.3647,
Minnesota,Idaho,64.1,MN,530.8594,141.5874,
Mississippi,Idaho,28.5,MS,598.6016,342.1514,
Missouri,Idaho,57.0,MO,557.0,261.123,
Montana,Idaho,85.6,MT,370.0981,112.7705,
Nebraska,Idaho,78.9,NE,473.8364,210.0527,
Nevada,Idaho,62.0,NV,267.8765,219.0957,
New Hampshire,Idaho,52.1,NH,-1000.0,-1000.0,
New Jersey,Idaho,48.2,NJ,785.0,210.0,
New Mexico,Idaho,45.0,NM,385.3774,314.1035,
New York,Idaho,41.4,NY,753.5781,163.2588,
North Carolina,Idaho,45.8,NC,728.6084,284.5029,
North Dakota,Idaho,82.8,ND,467.0742,117.3823,
Ohio,Idaho,55.1,OH,670.7197,219.4883,
Oklahoma,Idaho,62.7,OK,500.1963,306.418,
Oregon,Idaho,79.9,OR,240.2783,139.5654,
Pennsylvania,Idaho,47.9,PA,730.3535,200.856,
Rhode Island,Idaho,55.7,RI,-1000.0,-1000.0,
South Carolina,Idaho,30.4,SC,712.4395,315.6387,
South Dakota,Idaho,80.8,SD,468.0742,163.5166,
Tennessee,Idaho,45.4,TN,640.8594,294.8193,
Texas,Idaho,39.2,TX,480.9902,374.2861,
Utah,Idaho,72.5,UT,330.1084,234.978,
Vermont,Idaho,50.2,VT,-1000.0,-1000.0,
Virginia,Idaho,45.2,VA,731.0264,252.7842,
Washington,Idaho,74.0,WA,256.9365,88.0762,
West Virginia,Idaho,59.8,WV,701.0,243.0,
Wisconsin,Idaho,62.5,WI,585.2529,163.2588,
Wyoming,Idaho,87.6,WY,385.9287,179.6255,
District of Columbia,Idaho,19.8,DC,-1000.0,-1000.0,
Alabama,Illinois,70.4,AL,637.0,338.6934,
Alaska,Illinois,56.3,AK,245.0,400.0,
Arizona,Illinois,60.3,AZ,315.0,306.5801,
Arkansas,Illinois,78.3,AR,560.0,315.6387,
California,Illinois,59.4,CA,223.0,253.9219,
Colorado,Illinois,75.5,CO,400.0,245.5645,
Connecticut,Illinois,60.4,CT,-1000.0,-1000.0,
Delaware,Illinois,71.2,DE,-1000.0,-1000.0,
Florida,Illinois,75.0,FL,714.0,397.8154,
Georgia,Illinois,61.5,GA,680.0117,335.2354,
Hawaii,Illinois,52.8,HI,380.0,465.0,
Idaho,Illinois,49.3,ID,310.1851,155.0,
Illinois,Illinois,99.8,IL,596.6602,231.2954,
Indiana,Illinois,78.4,IN,633.4111,228.4214,
Iowa,Illinois,62.8,IA,545.8457,202.6782,
Kansas,Illinois,63.6,KS,487.0,259.1592,
Kentucky,Illinois,71.2,KY,655.1484,264.9658,
Louisiana,Illinois,58.4,LA,561.4404,369.8135,
Maine,Illinois,49.5,ME,807.3105,109.855,
Maryland,Illinois,69.7,MD,-1000.0,-1000.0,
Massachusetts,Illinois,60.9,MA,-1000.0,-1000.0,
Michigan,Illinois,75.9,MI,645.6465,181.3647,
Minnesota,Illinois,67.8,MN,530.8594,141.5874,
Mississippi,Illinois,55.0,MS,598.6016,342.1514,
Missouri,Illinois,81.5,MO,557.0,261.123,
Montana,Illinois,49.2,MT,370.0981,112.7705,
Nebraska,Illinois,62.7,NE,473.8364,210.0527,
Nevada,Illinois,66.5,NV,267.8765,219.0957,
New Hampshire,Illinois,55.4,NH,-1000.0,-1000.0,
New Jersey,Illinois,76.7,NJ,785.0,210.0,
New Mexico,Illinois,64.6,NM,385.3774,314.1035,
New York,Illinois,84.2,NY,753.5781,163.2588,
North Carolina,Illinois,79.9,NC,728.6084,284.5029,
North Dakota,Illinois,51.7,ND,467.0742,117.3823,
Ohio,Illinois,77.0,OH,670.7197,219.4883,
Oklahoma,Illinois,59.8,OK,500.1963,306.418,
Oregon,Illinois,55.7,OR,240.2783,139.5654,
Pennsylvania,Illinois,77.8,PA,730.3535,200.856,
Rhode Island,Illinois,66.3,RI,-1000.0,-1000.0,
South Carolina,Illinois,57.4,SC,712.4395,315.6387,
South Dakota,Illinois,57.6,SD,468.0742,163.5166,
Tennessee,Illinois,82.4,TN,640.8594,294.8193,
Texas,Illinois,70.9,TX,480.9902,374.2861,
Utah,Illinois,50.6,UT,330.1084,234.978,
Vermont,Illinois,53.4,VT,-1000.0,-1000.0,
Virginia,Illinois,80.1,VA,731.0264,252.7842,
Washington,Illinois,47.7,WA,256.9365,88.0762,
West Virginia,Illinois,55.6,WV,701.0,243.0,
Wisconsin,Illinois,71.5,WI,585.2529,163.2588,
Wyoming,Illinois,48.8,WY,385.9287,179.6255,
District of Columbia,Illinois,41.6,DC,-1000.0,-1000.0,
Alabama,Indiana,57.4,AL,637.0,338.6934,
Alaska,Indiana,59.8,AK,245.0,400.0,
Arizona,Indiana,62.2,AZ,315.0,306.5801,
Arkansas,Indiana,71.4,AR,560.0,315.6387,
California,Indiana,51.9,CA,223.0,253.9219,
Colorado,Indiana,72.3,CO,400.0,245.5645,
Connecticut,Indiana,71.4,CT,-1000.0,-1000.0,
Delaware,Indiana,77.7,DE,-1000.0,-1000.0,
Florida,Indiana,57.9,FL,714.0,397.8154,
Georgia,Indiana,50.7,GA,680.0117,335.2354,
Hawaii,Indiana,47.1,HI,380.0,465.0,
Idaho,Indiana,52.3,ID,310.1851,155.0,
Illinois,Indiana,77.5,IL,596.6602,231.2954,
Indiana,Indiana,99.8,IN,633.4111,228.4214,
Iowa,Indiana,67.9,IA,545.8457,202.6782,
Kansas,Indiana,65.5,KS,487.0,259.1592,
Kentucky,Indiana,81.5,KY,655.1484,264.9658,
Louisiana,Indiana,48.3,LA,561.4404,369.8135,
Maine,Indiana,54.5,ME,807.3105,109.855,
Maryland,Indiana,61.5,MD,-1000.0,-1000.0,
Massachusetts,Indiana,72.7,MA,-1000.0,-1000.0,
Michigan,Indiana,83.6,MI,645.6465,181.3647,
Minnesota,Indiana,78.8,MN,530.8594,141.5874,
Mississippi,Indiana,45.0,MS,598.6016,342.1514,
Missouri,Indiana,88.6,MO,557.0,261.123,
Montana,Indiana,51.7,MT,370.0981,112.7705,
Nebraska,Indiana,64.7,NE,473.8364,210.0527,
Nevada,Indiana,58.9,NV,267.8765,219.0957,
New Hampshire,Indiana,65.6,NH,-1000.0,-1000.0,
New Jersey,Indiana,80.6,NJ,785.0,210.0,
New Mexico,Indiana,55.0,NM,385.3774,314.1035,
New York,Indiana,77.6,NY,753.5781,163.2588,
North Carolina,Indiana,70.7,NC,728.6084,284.5029,
North Dakota,Indiana,53.8,ND,467.0742,117.3823,
Ohio,Indiana,82.9,OH,670.7197,219.4883,
Oklahoma,Indiana,63.9,OK,500.1963,306.418,
Oregon,Indiana,60.0,OR,240.2783,139.5654,
Pennsylvania,Indiana,82.2,PA,730.3535,200.856,
Rhode Island,Indiana,75.7,RI,-1000.0,-1000.0,
South Carolina,Indiana,46.8,SC,712.4395,315.6387,
South Dakota,Indiana,60.0,SD,468.0742,163.5166,
Tennessee,Indiana,76.3,TN,640.8594,294.8193,
Texas,Indiana,58.9,TX,480.9902,374.2861,
Utah,Indiana,55.1,UT,330.1084,234.978,
Vermont,Indiana,59.0,VT,-1000.0,-1000.0,
Virginia,Indiana,77.4,VA,731.0264,252.7842,
Washington,Indiana,54.2,WA,256.9365,88.0762,
West Virginia,Indiana,58.7,WV,701.0,243.0,
Wisconsin,Indiana,82.5,WI,585.2529,163.2588,
Wyoming,Indiana,50.9,WY,385.9287,179.6255,
District of Columbia,Indiana,37.1,DC,-1000.0,-1000.0,
Alabama,Iowa,41.3,AL,637.0,338.6934,
Alaska,Iowa,55.3,AK,245.0,400.0,
Arizona,Iowa,54.3,AZ,315.0,306.5801,
Arkansas,Iowa,58.5,AR,560.0,315.6387,
California,Iowa,37.2,CA,223.0,253.9219,
Colorado,Iowa,59.0,CO,400.0,245.5645,
Connecticut,Iowa,69.2,CT,-1000.0,-1000.0,
Delaware,Iowa,58.2,DE,-1000.0,-1000.0,
Florida,Iowa,43.0,FL,714.0,397.8154,
Georgia,Iowa,33.9,GA,680.0117,335.2354,
Hawaii,Iowa,32.6,HI,380.0,465.0,
Idaho,Iowa,68.9,ID,310.1851,155.0,
Illinois,Iowa,59.3,IL,596.6602,231.2954,
Indiana,Iowa,66.1,IN,633.4111,228.4214,
Iowa,Iowa,99.8,IA,545.8457,202.6782,
Kansas,Iowa,84.7,KS,487.0,259.1592,
Kentucky,Iowa,69.3,KY,655.1484,264.9658,
Louisiana,Iowa,37.1,LA,561.4404,369.8135,
Maine,Iowa,64.3,ME,807.3105,109.855,
Maryland,Iowa,38.9,MD,-1000.0,-1000.0,
Massachusetts,Iowa,70.0,MA,-1000.0,-1000.0,
Michigan,Iowa,61.5,MI,645.6465,181.3647,
Minnesota,Iowa,77.9,MN,530.8594,141.5874,
Mississippi,Iowa,32.4,MS,598.6016,342.1514,
Missouri,Iowa,71.1,MO,557.0,261.123,
Montana,Iowa,69.1,MT,370.0981,112.7705,
Nebraska,Iowa,84.6,NE,473.8364,210.0527,
Nevada,Iowa,55.9,NV,267.8765,219.0957,
New Hampshire,Iowa,73.1,NH,-1000.0,-1000.0,
New Jersey,Iowa,54.2,NJ,785.0,210.0,
New Mexico,Iowa,47.9,NM,385.3774,314.1035,
New York,Iowa,51.9,NY,753.5781,163.2588,
North Carolina,Iowa,50.0,NC,728.6084,284.5029,
North Dakota,Iowa,71.6,ND,467.0742,117.3823,
Ohio,Iowa,62.7,OH,670.7197,219.4883,
Oklahoma,Iowa,60.2,OK,500.1963,306.418,
Oregon,Iowa,69.3,OR,240.2783,139.5654,
Pennsylvania,Iowa,58.5,PA,730.3535,200.856,
Rhode Island,Iowa,60.4,RI,-1000.0,-1000.0,
South Carolina,Iowa,33.2,SC,712.4395,315.6387,
South Dakota,Iowa,78.7,SD,468.0742,163.5166,
Tennessee,Iowa,53.8,TN,640.8594,294.8193,
Texas,Iowa,42.1,TX,480.9902,374.2861,
Utah,Iowa,70.7,UT,330.1084,234.978,
Vermont,Iowa,68.8,VT,-1000.0,-1000.0,
Virginia,Iowa,56.8,VA,731.0264,252.7842,
Washington,Iowa,63.6,WA,256.9365,88.0762,
West Virginia,Iowa,73.3,WV,701.0,243.0,
Wisconsin,Iowa,78.9,WI,585.2529,163.2588,
Wyoming,Iowa,68.3,WY,385.9287,179.6255,
District of Columbia,Iowa,28.0,DC,-1000.0,-1000.0,
Alabama,Kansas,46.2,AL,637.0,338.6934,
Alaska,Kansas,62.8,AK,245.0,400.0,
Arizona,Kansas,65.1,AZ,315.0,306.5801,
Arkansas,Kansas,67.4,AR,560.0,315.6387,
California,Kansas,42.1,CA,223.0,253.9219,
Colorado,Kansas,65.1,CO,400.0,245.5645,
Connecticut,Kansas,67.5,CT,-1000.0,-1000.0,
Delaware,Kansas,65.2,DE,-1000.0,-1000.0,
Florida,Kansas,50.5,FL,714.0,397.8154,
Georgia,Kansas,39.5,GA,680.0117,335.2354,
Hawaii,Kansas,32.9,HI,380.0,465.0,
Idaho,Kansas,78.4,ID,310.1851,155.0,
Illinois,Kansas,60.5,IL,596.6602,231.2954,
Indiana,Kansas,64.1,IN,633.4111,228.4214,
Iowa,Kansas,84.7,IA,545.8457,202.6782,
Kansas,Kansas,99.8,KS,487.0,259.1592,
Kentucky,Kansas,70.0,KY,655.1484,264.9658,
Louisiana,Kansas,44.2,LA,561.4404,369.8135,
Maine,Kansas,72.1,ME,807.3105,109.855,
Maryland,Kansas,41.4,MD,-1000.0,-1000.0,
Massachusetts,Kansas,67.8,MA,-1000.0,-1000.0,
Michigan,Kansas,66.7,MI,645.6465,181.3647,
Minnesota,Kansas,76.3,MN,530.8594,141.5874,
Mississippi,Kansas,37.9,MS,598.6016,342.1514,
Missouri,Kansas,72.3,MO,557.0,261.123,
Montana,Kansas,81.2,MT,370.0981,112.7705,
Nebraska,Kansas,98.0,NE,473.8364,210.0527,
Nevada,Kansas,59.2,NV,267.8765,219.0957,
New Hampshire,Kansas,60.2,NH,-1000.0,-1000.0,
New Jersey,Kansas,60.7,NJ,785.0,210.0,
New Mexico,Kansas,51.4,NM,385.3774,314.1035,
New York,Kansas,51.1,NY,753.5781,163.2588,
North Carolina,Kansas,56.3,NC,728.6084,284.5029,
North Dakota,Kansas,81.8,ND,467.0742,117.3823,
Ohio,Kansas,68.9,OH,670.7197,219.4883,
Oklahoma,Kansas,73.1,OK,500.1963,306.418,
Oregon,Kansas,75.1,OR,240.2783,139.5654,
Pennsylvania,Kansas,57.9,PA,730.3535,200.856,
Rhode Island,Kansas,68.1,RI,-1000.0,-1000.0,
South Carolina,Kansas,37.7,SC,712.4395,315.6387,
South Dakota,Kansas,89.9,SD,468.0742,163.5166,
Tennessee,Kansas,58.7,TN,640.8594,294.8193,
Texas,Kansas,52.4,TX,480.9902,374.2861,
Utah,Kansas,73.0,UT,330.1084,234.978,
Vermont,Kansas,56.5,VT,-1000.0,-1000.0,
Virginia,Kansas,54.8,VA,731.0264,252.7842,
Washington,Kansas,66.2,WA,256.9365,88.0762,
West Virginia,Kansas,69.6,WV,701.0,243.0,
Wisconsin,Kansas,77.1,WI,585.2529,163.2588,
Wyoming,Kansas,81.2,WY,385.9287,179.6255,
District of Columbia,Kansas,24.6,DC,-1000.0,-1000.0,
Alabama,Kentucky,53.1,AL,637.0,338.6934,
Alaska,Kentucky,53.0,AK,245.0,400.0,
Arizona,Kentucky,56.8,AZ,315.0,306.5801,
Arkansas,Kentucky,65.8,AR,560.0,315.6387,
California,Kentucky,43.2,CA,223.0,253.9219,
Colorado,Kentucky,65.6,CO,400.0,245.5645,
Connecticut,Kentucky,76.4,CT,-1000.0,-1000.0,
Delaware,Kentucky,79.5,DE,-1000.0,-1000.0,
Florida,Kentucky,52.9,FL,714.0,397.8154,
Georgia,Kentucky,48.4,GA,680.0117,335.2354,
Hawaii,Kentucky,38.2,HI,380.0,465.0,
Idaho,Kentucky,56.9,ID,310.1851,155.0,
Illinois,Kentucky,68.0,IL,596.6602,231.2954,
Indiana,Kentucky,80.6,IN,633.4111,228.4214,
Iowa,Kentucky,68.0,IA,545.8457,202.6782,
Kansas,Kentucky,69.1,KS,487.0,259.1592,
Kentucky,Kentucky,99.8,KY,655.1484,264.9658,
Louisiana,Kentucky,41.9,LA,561.4404,369.8135,
Maine,Kentucky,59.8,ME,807.3105,109.855,
Maryland,Kentucky,56.9,MD,-1000.0,-1000.0,
Massachusetts,Kentucky,73.3,MA,-1000.0,-1000.0,
Michigan,Kentucky,71.8,MI,645.6465,181.3647,
Minnesota,Kentucky,77.2,MN,530.8594,141.5874,
Mississippi,Kentucky,42.3,MS,598.6016,342.1514,
Missouri,Kentucky,78.5,MO,557.0,261.123,
Montana,Kentucky,54.6,MT,370.0981,112.7705,
Nebraska,Kentucky,67.8,NE,473.8364,210.0527,
Nevada,Kentucky,49.7,NV,267.8765,219.0957,
New Hampshire,Kentucky,68.8,NH,-1000.0,-1000.0,
New Jersey,Kentucky,70.2,NJ,785.0,210.0,
New Mexico,Kentucky,48.0,NM,385.3774,314.1035,
New York,Kentucky,66.1,NY,753.5781,163.2588,
North Carolina,Kentucky,66.7,NC,728.6084,284.5029,
North Dakota,Kentucky,57.8,ND,467.0742,117.3823,
Ohio,Kentucky,81.5,OH,670.7197,219.4883,
Oklahoma,Kentucky,60.7,OK,500.1963,306.418,
Oregon,Kentucky,63.3,OR,240.2783,139.5654,
Pennsylvania,Kentucky,76.5,PA,730.3535,200.856,
Rhode Island,Kentucky,75.7,RI,-1000.0,-1000.0,
South Carolina,Kentucky,46.2,SC,712.4395,315.6387,
South Dakota,Kentucky,62.9,SD,468.0742,163.5166,
Tennessee,Kentucky,78.9,TN,640.8594,294.8193,
Texas,Kentucky,50.4,TX,480.9902,374.2861,
Utah,Kentucky,58.0,UT,330.1084,234.978,
Vermont,Kentucky,64.6,VT,-1000.0,-1000.0,
Virginia,Kentucky,67.1,VA,731.0264,252.7842,
Washington,Kentucky,56.0,WA,256.9365,88.0762,
West Virginia,Kentucky,64.1,WV,701.0,243.0,
Wisconsin,Kentucky,81.3,WI,585.2529,163.2588,
Wyoming,Kentucky,55.2,WY,385.9287,179.6255,
District of Columbia,Kentucky,31.2,DC,-1000.0,-1000.0,
Alabama,Louisiana,80.1,AL,637.0,338.6934,
Alaska,Louisiana,33.1,AK,245.0,400.0,
Arizona,Louisiana,39.5,AZ,315.0,306.5801,
Arkansas,Louisiana,57.4,AR,560.0,315.6387,
California,Louisiana,44.6,CA,223.0,253.9219,
Colorado,Louisiana,43.1,CO,400.0,245.5645,
Connecticut,Louisiana,33.7,CT,-1000.0,-1000.0,
Delaware,Louisiana,42.6,DE,-1000.0,-1000.0,
Florida,Louisiana,59.8,FL,714.0,397.8154,
Georgia,Louisiana,71.9,GA,680.0117,335.2354,
Hawaii,Louisiana,36.6,HI,380.0,465.0,
Idaho,Louisiana,32.6,ID,310.1851,155.0,
Illinois,Louisiana,55.5,IL,596.6602,231.2954,
Indiana,Louisiana,47.2,IN,633.4111,228.4214,
Iowa,Louisiana,37.4,IA,545.8457,202.6782,
Kansas,Louisiana,44.2,KS,487.0,259.1592,
Kentucky,Louisiana,42.6,KY,655.1484,264.9658,
Louisiana,Louisiana,99.8,LA,561.4404,369.8135,
Maine,Louisiana,36.7,ME,807.3105,109.855,
Maryland,Louisiana,63.6,MD,-1000.0,-1000.0,
Massachusetts,Louisiana,33.9,MA,-1000.0,-1000.0,
Michigan,Louisiana,54.3,MI,645.6465,181.3647,
Minnesota,Louisiana,39.5,MN,530.8594,141.5874,
Mississippi,Louisiana,81.1,MS,598.6016,342.1514,
Missouri,Louisiana,51.8,MO,557.0,261.123,
Montana,Louisiana,37.5,MT,370.0981,112.7705,
Nebraska,Louisiana,42.5,NE,473.8364,210.0527,
Nevada,Louisiana,38.1,NV,267.8765,219.0957,
New Hampshire,Louisiana,30.8,NH,-1000.0,-1000.0,
New Jersey,Louisiana,48.7,NJ,785.0,210.0,
New Mexico,Louisiana,38.1,NM,385.3774,314.1035,
New York,Louisiana,47.3,NY,753.5781,163.2588,
North Carolina,Louisiana,56.6,NC,728.6084,284.5029,
North Dakota,Louisiana,38.7,ND,467.0742,117.3823,
Ohio,Louisiana,47.8,OH,670.7197,219.4883,
Oklahoma,Louisiana,46.6,OK,500.1963,306.418,
Oregon,Louisiana,35.6,OR,240.2783,139.5654,
Pennsylvania,Louisiana,42.6,PA,730.3535,200.856,
Rhode Island,Louisiana,41.0,RI,-1000.0,-1000.0,
South Carolina,Louisiana,77.6,SC,712.4395,315.6387,
South Dakota,Louisiana,43.3,SD,468.0742,163.5166,
Tennessee,Louisiana,55.7,TN,640.8594,294.8193,
Texas,Louisiana,59.1,TX,480.9902,374.2861,
Utah,Louisiana,37.9,UT,330.1084,234.978,
Vermont,Louisiana,27.8,VT,-1000.0,-1000.0,
Virginia,Louisiana,50.5,VA,731.0264,252.7842,
Washington,Louisiana,29.6,WA,256.9365,88.0762,
West Virginia,Louisiana,41.6,WV,701.0,243.0,
Wisconsin,Louisiana,41.7,WI,585.2529,163.2588,
Wyoming,Louisiana,38.1,WY,385.9287,179.6255,
District of Columbia,Louisiana,53.6,DC,-1000.0,-1000.0,
Alabama,Maine,39.0,AL,637.0,338.6934,
Alaska,Maine,56.0,AK,245.0,400.0,
Arizona,Maine,53.3,AZ,315.0,306.5801,
Arkansas,Maine,56.8,AR,560.0,315.6387,
California,Maine,29.9,CA,223.0,253.9219,
Colorado,Maine,44.8,CO,400.0,245.5645,
Connecticut,Maine,72.3,CT,-1000.0,-1000.0,
Delaware,Maine,67.0,DE,-1000.0,-1000.0,
