state,statecat,value,label,xValue,yValue,rank
District of Columbia,Alaska,28.5,DC,-1000.0,-1000.0,9.0
Alabama,Arizona,50.2,AL,637.0,338.6934,41.0
Alaska,Arizona,63.6,AK,245.0,400.0,11.0
Arizona,Arizona,99.8,AZ,315.0,306.5801,0.0
Arkansas,Arizona,75.3,AR,560.0,315.6387,2.0
California,Arizona,58.9,CA,223.0,253.9219,27.0
Colorado,Arizona,78.0,CO,400.0,245.5645,1.0
Connecticut,Arizona,50.8,CT,-1000.0,-1000.0,40.0
Delaware,Arizona,61.6,DE,-1000.0,-1000.0,21.0
Florida,Arizona,58.0,FL,714.0,397.8154,29.0
Georgia,Arizona,43.5,GA,680.0117,335.2354,47.0
Hawaii,Arizona,40.3,HI,380.0,465.0,49.0
Idaho,Arizona,65.4,ID,310.1851,155.0,8.0
Illinois,Arizona,62.5,IL,596.6602,231.2954,16.0
Indiana,Arizona,61.6,IN,633.4111,228.4214,22.0
Iowa,Arizona,54.5,IA,545.8457,202.6782,34.0
Kansas,Arizona,62.7,KS,487.0,259.1592,14.0
Kentucky,Arizona,55.8,KY,655.1484,264.9658,33.0
Louisiana,Arizona,47.9,LA,561.4404,369.8135,42.0
Maine,Arizona,52.2,ME,807.3105,109.855,37.0
Maryland,Arizona,45.4,MD,-1000.0,-1000.0,44.0
Massachusetts,Arizona,51.4,MA,-1000.0,-1000.0,39.0
Michigan,Arizona,64.0,MI,645.6465,181.3647,10.0
Minnesota,Arizona,57.0,MN,530.8594,141.5874,31.0
Mississippi,Arizona,44.8,MS,598.6016,342.1514,45.0
Missouri,Arizona,65.9,MO,557.0,261.123,7.0
Montana,Arizona,66.0,MT,370.0981,112.7705,6.0
Nebraska,Arizona,62.8,NE,473.8364,210.0527,13.0
Nevada,Arizona,69.6,NV,267.8765,219.0957,4.0
New Hampshire,Arizona,46.2,NH,-1000.0,-1000.0,43.0
New Jersey,Arizona,62.0,NJ,785.0,210.0,18.0
New Mexico,Arizona,69.9,NM,385.3774,314.1035,3.0
New York,Arizona,57.4,NY,753.5781,163.2588,30.0
North Carolina,Arizona,61.0,NC,728.6084,284.5029,23.0
