rank,state,state2,value
5,Maryland,Georgia,66.8
6,Maryland,North Carolina,65.4
7,Maryland,Massachusetts,65.3
8,Maryland,South Carolina,64.9
9,Maryland,Connecticut,62.0
10,Maryland,Rhode Island,59.4
1,Massachusetts,Connecticut,84.4
2,Massachusetts,Rhode Island,77.0
3,Massachusetts,Vermont,75.5
4,Massachusetts,New York,73.7
5,Massachusetts,New Jersey,72.4
6,Massachusetts,New Hampshire,68.4
7,Massachusetts,Delaware,66.3
8,Massachusetts,Maryland,65.3
9,Massachusetts,Virginia,64.3
10,Massachusetts,Illinois,60.9
1,Michigan,Pennsylvania,86.9
2,Michigan,Wisconsin,83.9
3,Michigan,Ohio,82.8
4,Michigan,Indiana,74.6
5,Michigan,Missouri,73.7
6,Michigan,Minnesota,72.4
7,Michigan,Iowa,72.0
8,Michigan,North Carolina,70.8
9,Michigan,Tennessee,70.7
10,Michigan,Illinois,69.7
1,Minnesota,Wisconsin,79.4
2,Minnesota,Iowa,73.4
3,Minnesota,Michigan,72.4
4,Minnesota,North Dakota,69.7
5,Minnesota,Kansas,69.6
6,Minnesota,Nebraska,68.2
7,Minnesota,Colorado,67.9
8,Minnesota,Illinois,67.4
9,Minnesota,Pennsylvania,66.1
10,Minnesota,New Hampshire,64.9
1,Mississippi,Louisiana,84.9
2,Mississippi,Alabama,74.0
3,Mississippi,Georgia,73.2
4,Mississippi,South Carolina,72.5
5,Mississippi,Tennessee,62.1
6,Mississippi,Missouri,61.2
7,Mississippi,Arkansas,60.8
8,Mississippi,North Carolina,60.7
9,Mississippi,Indiana,57.8
10,Mississippi,Kansas,55.0
1,Missouri,Indiana,88.3
2,Missouri,Ohio,82.6
3,Missouri,Arkansas,81.7
4,Missouri,Tennessee,81.5
5,Missouri,Iowa,78.5
6,Missouri,Kansas,77.2
7,Missouri,South Dakota,74.2
8,Missouri,Michigan,73.7
9,Missouri,Wisconsin,73.7
10,Missouri,Montana,72.1
1,Montana,South Dakota,77.4
2,Montana,North Dakota,75.3
3,Montana,Nebraska,74.4
4,Montana,Kansas,74.2
5,Montana,Wyoming,72.9
6,Montana,Iowa,72.7
7,Montana,Idaho,72.5
8,Montana,Missouri,72.1
9,Montana,Utah,70.8
10,Montana,Oregon,67.4
1,Nebraska,Kansas,87.6
2,Nebraska,South Dakota,86.8
3,Nebraska,North Dakota,86.5
4,Nebraska,Utah,78.8
5,Nebraska,Montana,74.4
6,Nebraska,Iowa,73.4
