state,statecat,value,label,xValue,yValue
Iowa,Arizona,56.6,IA,545.8457,202.6782
Kansas,Arizona,59.9,KS,487.0,259.1592
Kentucky,Arizona,33.7,KY,655.1484,264.9658
Louisiana,Arizona,41.0,LA,561.4404,369.8135
Maine,Arizona,36.6,ME,807.3105,109.855
Maryland,Arizona,27.1,MD,-1000.0,-1000.0
Massachusetts,Arizona,34.7,MA,-1000.0,-1000.0
Michigan,Arizona,50.5,MI,645.6465,181.3647
Minnesota,Arizona,56.1,MN,530.8594,141.5874
Mississippi,Arizona,37.2,MS,598.6016,342.1514
Missouri,Arizona,49.7,MO,557.0,261.123
Montana,Arizona,56.6,MT,370.0981,112.7705
Nebraska,Arizona,54.6,NE,473.8364,210.0527
Nevada,Arizona,73.3,NV,267.8765,219.0957
New Hampshire,Arizona,41.1,NH,-1000.0,-1000.0
New Jersey,Arizona,43.3,NJ,785.0,210.0
New Mexico,Arizona,63.1,NM,385.3774,314.1035
New York,Arizona,37.2,NY,753.5781,163.2588
North Carolina,Arizona,49.8,NC,728.6084,284.5029
North Dakota,Arizona,49.4,ND,467.0742,117.3823
Ohio,Arizona,49.2,OH,670.7197,219.4883
Oklahoma,Arizona,50.8,OK,500.1963,306.418
Oregon,Arizona,59.4,OR,240.2783,139.5654
Pennsylvania,Arizona,50.4,PA,730.3535,200.856
Rhode Island,Arizona,45.7,RI,-1000.0,-1000.0
South Carolina,Arizona,42.6,SC,712.4395,315.6387
South Dakota,Arizona,52.5,SD,468.0742,163.5166
Tennessee,Arizona,40.9,TN,640.8594,294.8193
Texas,Arizona,70.0,TX,480.9902,374.2861
Utah,Arizona,65.0,UT,330.1084,234.978
Vermont,Arizona,31.3,VT,-1000.0,-1000.0
Virginia,Arizona,44.3,VA,731.0264,252.7842
Washington,Arizona,58.3,WA,256.9365,88.0762
West Virginia,Arizona,23.6,WV,701.0,243.0
Wisconsin,Arizona,55.7,WI,585.2529,163.2588
Wyoming,Arizona,50.6,WY,385.9287,179.6255
District of Columbia,Arizona,17.5,DC,-1000.0,-1000.0
Alabama,Arkansas,75.4,AL,637.0,338.6934
Alaska,Arkansas,35.5,AK,245.0,400.0
Arizona,Arkansas,41.9,AZ,315.0,306.5801
Arkansas,Arkansas,100.0,AR,560.0,315.6387
California,Arkansas,24.3,CA,223.0,253.9219
Colorado,Arkansas,38.5,CO,400.0,245.5645
Connecticut,Arkansas,37.5,CT,-1000.0,-1000.0
Delaware,Arkansas,48.8,DE,-1000.0,-1000.0
Florida,Arkansas,53.2,FL,714.0,397.8154
Georgia,Arkansas,53.0,GA,680.0117,335.2354
Hawaii,Arkansas,8.6,HI,380.0,465.0
Idaho,Arkansas,58.0,ID,310.1851,155.0
Illinois,Arkansas,55.3,IL,596.6602,231.2954
Indiana,Arkansas,75.9,IN,633.4111,228.4214
Iowa,Arkansas,66.0,IA,545.8457,202.6782
Kansas,Arkansas,66.7,KS,487.0,259.1592
Kentucky,Arkansas,75.5,KY,655.1484,264.9658
Louisiana,Arkansas,68.1,LA,561.4404,369.8135
Maine,Arkansas,44.3,ME,807.3105,109.855
Maryland,Arkansas,38.7,MD,-1000.0,-1000.0
Massachusetts,Arkansas,34.4,MA,-1000.0,-1000.0
Michigan,Arkansas,63.0,MI,645.6465,181.3647
Minnesota,Arkansas,49.8,MN,530.8594,141.5874
Mississippi,Arkansas,60.8,MS,598.6016,342.1514
Missouri,Arkansas,81.7,MO,557.0,261.123
Montana,Arkansas,57.7,MT,370.0981,112.7705
Nebraska,Arkansas,69.3,NE,473.8364,210.0527
Nevada,Arkansas,41.0,NV,267.8765,219.0957
New Hampshire,Arkansas,44.5,NH,-1000.0,-1000.0
New Jersey,Arkansas,39.3,NJ,785.0,210.0
New Mexico,Arkansas,33.1,NM,385.3774,314.1035
New York,Arkansas,38.7,NY,753.5781,163.2588
North Carolina,Arkansas,52.8,NC,728.6084,284.5029
North Dakota,Arkansas,62.9,ND,467.0742,117.3823
Ohio,Arkansas,70.3,OH,670.7197,219.4883
Oklahoma,Arkansas,78.7,OK,500.1963,306.418
Oregon,Arkansas,41.9,OR,240.2783,139.5654
Pennsylvania,Arkansas,57.8,PA,730.3535,200.856
Rhode Island,Arkansas,43.9,RI,-1000.0,-1000.0
South Carolina,Arkansas,57.0,SC,712.4395,315.6387
South Dakota,Arkansas,71.7,SD,468.0742,163.5166
Tennessee,Arkansas,85.3,TN,640.8594,294.8193
Texas,Arkansas,49.7,TX,480.9902,374.2861
Utah,Arkansas,57.3,UT,330.1084,234.978
Vermont,Arkansas,43.8,VT,-1000.0,-1000.0
Virginia,Arkansas,47.3,VA,731.0264,252.7842
Washington,Arkansas,35.9,WA,256.9365,88.0762
West Virginia,Arkansas,58.8,WV,701.0,243.0
Wisconsin,Arkansas,61.1,WI,585.2529,163.2588
Wyoming,Arkansas,57.2,WY,385.9287,179.6255
District of Columbia,Arkansas,26.7,DC,-1000.0,-1000.0
Alabama,California,23.4,AL,637.0,338.6934
Alaska,California,28.4,AK,245.0,400.0
Arizona,California,53.9,AZ,315.0,306.5801
Arkansas,California,24.3,AR,560.0,315.6387
California,California,100.0,CA,223.0,253.9219
Colorado,California,42.5,CO,400.0,245.5645
Connecticut,California,34.8,CT,-1000.0,-1000.0
Delaware,California,33.6,DE,-1000.0,-1000.0
Florida,California,32.5,FL,714.0,397.8154
Georgia,California,26.6,GA,680.0117,335.2354
Hawaii,California,19.9,HI,380.0,465.0
Idaho,California,38.2,ID,310.1851,155.0
Illinois,California,41.6,IL,596.6602,231.2954
Indiana,California,23.6,IN,633.4111,228.4214
Iowa,California,26.1,IA,545.8457,202.6782
Kansas,California,31.5,KS,487.0,259.1592
Kentucky,California,19.0,KY,655.1484,264.9658
Louisiana,California,23.9,LA,561.4404,369.8135
Maine,California,20.6,ME,807.3105,109.855
Maryland,California,42.0,MD,-1000.0,-1000.0
Massachusetts,California,39.6,MA,-1000.0,-1000.0
Michigan,California,28.2,MI,645.6465,181.3647
Minnesota,California,31.8,MN,530.8594,141.5874
Mississippi,California,22.4,MS,598.6016,342.1514
Missouri,California,27.1,MO,557.0,261.123
Montana,California,34.6,MT,370.0981,112.7705
Nebraska,California,30.4,NE,473.8364,210.0527
Nevada,California,60.6,NV,267.8765,219.0957
New Hampshire,California,20.5,NH,-1000.0,-1000.0
New Jersey,California,40.8,NJ,785.0,210.0
New Mexico,California,51.5,NM,385.3774,314.1035
New York,California,47.3,NY,753.5781,163.2588
North Carolina,California,29.8,NC,728.6084,284.5029
North Dakota,California,29.2,ND,467.0742,117.3823
Ohio,California,24.3,OH,670.7197,219.4883
Oklahoma,California,32.3,OK,500.1963,306.418
Oregon,California,50.1,OR,240.2783,139.5654
Pennsylvania,California,26.0,PA,730.3535,200.856
Rhode Island,California,34.2,RI,-1000.0,-1000.0
South Carolina,California,25.7,SC,712.4395,315.6387
South Dakota,California,30.7,SD,468.0742,163.5166
Tennessee,California,23.1,TN,640.8594,294.8193
Texas,California,49.2,TX,480.9902,374.2861
Utah,California,42.2,UT,330.1084,234.978
Vermont,California,28.6,VT,-1000.0,-1000.0
Virginia,California,33.3,VA,731.0264,252.7842
Washington,California,53.5,WA,256.9365,88.0762
West Virginia,California,13.5,WV,701.0,243.0
Wisconsin,California,27.3,WI,585.2529,163.2588
Wyoming,California,33.2,WY,385.9287,179.6255
District of Columbia,California,16.1,DC,-1000.0,-1000.0
Alabama,Colorado,35.7,AL,637.0,338.6934
Alaska,Colorado,32.3,AK,245.0,400.0
Arizona,Colorado,62.9,AZ,315.0,306.5801
Arkansas,Colorado,38.5,AR,560.0,315.6387
California,Colorado,42.5,CA,223.0,253.9219
Colorado,Colorado,100.0,CO,400.0,245.5645
Connecticut,Colorado,54.3,CT,-1000.0,-1000.0
Delaware,Colorado,41.8,DE,-1000.0,-1000.0
Florida,Colorado,49.3,FL,714.0,397.8154
Georgia,Colorado,39.8,GA,680.0117,335.2354
Hawaii,Colorado,9.9,HI,380.0,465.0
Idaho,Colorado,43.7,ID,310.1851,155.0
Illinois,Colorado,58.3,IL,596.6602,231.2954
Indiana,Colorado,38.2,IN,633.4111,228.4214
Iowa,Colorado,53.0,IA,545.8457,202.6782
Kansas,Colorado,58.9,KS,487.0,259.1592
Kentucky,Colorado,30.4,KY,655.1484,264.9658
Louisiana,Colorado,37.9,LA,561.4404,369.8135
Maine,Colorado,43.0,ME,807.3105,109.855
Maryland,Colorado,31.6,MD,-1000.0,-1000.0
Massachusetts,Colorado,50.6,MA,-1000.0,-1000.0
Michigan,Colorado,49.5,MI,645.6465,181.3647
Minnesota,Colorado,67.9,MN,530.8594,141.5874
Mississippi,Colorado,36.8,MS,598.6016,342.1514
Missouri,Colorado,44.5,MO,557.0,261.123
Montana,Colorado,52.3,MT,370.0981,112.7705
Nebraska,Colorado,57.1,NE,473.8364,210.0527
Nevada,Colorado,60.7,NV,267.8765,219.0957
New Hampshire,Colorado,50.6,NH,-1000.0,-1000.0
New Jersey,Colorado,49.3,NJ,785.0,210.0
New Mexico,Colorado,60.8,NM,385.3774,314.1035
New York,Colorado,41.9,NY,753.5781,163.2588
North Carolina,Colorado,47.6,NC,728.6084,284.5029
North Dakota,Colorado,51.8,ND,467.0742,117.3823
Ohio,Colorado,40.5,OH,670.7197,219.4883
Oklahoma,Colorado,47.4,OK,500.1963,306.418
Oregon,Colorado,56.5,OR,240.2783,139.5654
Pennsylvania,Colorado,46.4,PA,730.3535,200.856
Rhode Island,Colorado,44.0,RI,-1000.0,-1000.0
South Carolina,Colorado,39.4,SC,712.4395,315.6387
South Dakota,Colorado,50.5,SD,468.0742,163.5166
Tennessee,Colorado,35.9,TN,640.8594,294.8193
Texas,Colorado,53.8,TX,480.9902,374.2861
Utah,Colorado,61.4,UT,330.1084,234.978
Vermont,Colorado,39.2,VT,-1000.0,-1000.0
Virginia,Colorado,52.6,VA,731.0264,252.7842
Washington,Colorado,58.4,WA,256.9365,88.0762
West Virginia,Colorado,21.8,WV,701.0,243.0
Wisconsin,Colorado,54.2,WI,585.2529,163.2588
Wyoming,Colorado,49.7,WY,385.9287,179.6255
District of Columbia,Colorado,21.3,DC,-1000.0,-1000.0
Alabama,Connecticut,43.1,AL,637.0,338.6934
Alaska,Connecticut,36.1,AK,245.0,400.0
Arizona,Connecticut,41.5,AZ,315.0,306.5801
Arkansas,Connecticut,37.5,AR,560.0,315.6387
California,Connecticut,34.8,CA,223.0,253.9219
Colorado,Connecticut,54.3,CO,400.0,245.5645
Connecticut,Connecticut,100.0,CT,-1000.0,-1000.0
Delaware,Connecticut,76.5,DE,-1000.0,-1000.0
Florida,Connecticut,55.0,FL,714.0,397.8154
Georgia,Connecticut,49.9,GA,680.0117,335.2354
Hawaii,Connecticut,13.0,HI,380.0,465.0
Idaho,Connecticut,30.6,ID,310.1851,155.0
Illinois,Connecticut,73.5,IL,596.6602,231.2954
Indiana,Connecticut,46.3,IN,633.4111,228.4214
Iowa,Connecticut,47.2,IA,545.8457,202.6782
Kansas,Connecticut,48.9,KS,487.0,259.1592
Kentucky,Connecticut,39.2,KY,655.1484,264.9658
Louisiana,Connecticut,37.1,LA,561.4404,369.8135
Maine,Connecticut,65.3,ME,807.3105,109.855
Maryland,Connecticut,62.0,MD,-1000.0,-1000.0
Massachusetts,Connecticut,84.4,MA,-1000.0,-1000.0
Michigan,Connecticut,57.3,MI,645.6465,181.3647
Minnesota,Connecticut,61.2,MN,530.8594,141.5874
Mississippi,Connecticut,38.4,MS,598.6016,342.1514
Missouri,Connecticut,43.1,MO,557.0,261.123
Montana,Connecticut,38.0,MT,370.0981,112.7705
Nebraska,Connecticut,45.9,NE,473.8364,210.0527
Nevada,Connecticut,41.5,NV,267.8765,219.0957
New Hampshire,Connecticut,68.2,NH,-1000.0,-1000.0
New Jersey,Connecticut,85.0,NJ,785.0,210.0
New Mexico,Connecticut,42.1,NM,385.3774,314.1035
New York,Connecticut,76.1,NY,753.5781,163.2588
North Carolina,Connecticut,64.8,NC,728.6084,284.5029
North Dakota,Connecticut,44.0,ND,467.0742,117.3823
Ohio,Connecticut,53.3,OH,670.7197,219.4883
Oklahoma,Connecticut,39.5,OK,500.1963,306.418
Oregon,Connecticut,52.5,OR,240.2783,139.5654
Pennsylvania,Connecticut,66.7,PA,730.3535,200.856
Rhode Island,Connecticut,82.1,RI,-1000.0,-1000.0
South Carolina,Connecticut,54.7,SC,712.4395,315.6387
South Dakota,Connecticut,39.5,SD,468.0742,163.5166
Tennessee,Connecticut,44.4,TN,640.8594,294.8193
Texas,Connecticut,40.7,TX,480.9902,374.2861
Utah,Connecticut,44.9,UT,330.1084,234.978
Vermont,Connecticut,65.2,VT,-1000.0,-1000.0
Virginia,Connecticut,71.9,VA,731.0264,252.7842
Washington,Connecticut,60.2,WA,256.9365,88.0762
West Virginia,Connecticut,36.9,WV,701.0,243.0
Wisconsin,Connecticut,54.8,WI,585.2529,163.2588
Wyoming,Connecticut,32.7,WY,385.9287,179.6255
District of Columbia,Connecticut,44.9,DC,-1000.0,-1000.0
Alabama,Delaware,61.4,AL,637.0,338.6934
Alaska,Delaware,38.6,AK,245.0,400.0
Arizona,Delaware,39.0,AZ,315.0,306.5801
Arkansas,Delaware,48.8,AR,560.0,315.6387
California,Delaware,33.6,CA,223.0,253.9219
Colorado,Delaware,41.8,CO,400.0,245.5645
Connecticut,Delaware,76.5,CT,-1000.0,-1000.0
