ev,gop,dem,gopY,demY,gopPerc,demPerc
90,35.1063829787234,4.787234042553191,114.8936170212766,145.2127659574468,0.1,0.0
91,54.25531914893617,6.382978723404255,95.74468085106383,143.61702127659575,0.2,0.0
92,68.61702127659575,3.1914893617021276,81.38297872340425,146.80851063829786,0.2,0.0
93,52.659574468085104,4.787234042553191,97.34042553191489,145.2127659574468,0.2,0.0
94,57.4468085106383,12.76595744680851,92.5531914893617,137.2340425531915,0.2,0.0
95,82.97872340425532,3.1914893617021276,67.02127659574468,146.80851063829786,0.3,0.0
96,84.57446808510639,6.382978723404255,65.42553191489361,143.61702127659575,0.3,0.0
97,100.53191489361703,0.0,49.46808510638297,150.0,0.3,0.0
98,79.7872340425532,3.1914893617021276,70.2127659574468,146.80851063829786,0.3,0.0
99,63.829787234042556,6.382978723404255,86.17021276595744,143.61702127659575,0.2,0.0
100,89.36170212765957,3.1914893617021276,60.63829787234043,146.80851063829786,0.3,0.0
101,102.12765957446808,11.170212765957446,47.87234042553192,138.82978723404256,0.3,0.0
102,89.36170212765957,3.1914893617021276,60.63829787234043,146.80851063829786,0.3,0.0
103,71.80851063829786,14.361702127659575,78.19148936170214,135.63829787234042,0.2,0.0
104,113.29787234042554,4.787234042553191,36.70212765957446,145.2127659574468,0.4,0.0
105,84.57446808510639,7.9787234042553195,65.42553191489361,142.02127659574467,0.3,0.0
106,87.7659574468085,9.574468085106382,62.2340425531915,140.4255319148936,0.3,0.0
107,97.3404255319149,14.361702127659575,52.6595744680851,135.63829787234042,0.3,0.0
108,89.36170212765957,6.382978723404255,60.63829787234043,143.61702127659575,0.3,0.0
109,68.61702127659575,12.76595744680851,81.38297872340425,137.2340425531915,0.2,0.0
110,98.93617021276596,11.170212765957446,51.06382978723404,138.82978723404256,0.3,0.0
111,84.57446808510639,14.361702127659575,65.42553191489361,135.63829787234042,0.3,0.0
112,84.57446808510639,11.170212765957446,65.42553191489361,138.82978723404256,0.3,0.0
113,111.70212765957447,11.170212765957446,38.29787234042553,138.82978723404256,0.4,0.0
114,84.57446808510639,9.574468085106382,65.42553191489361,140.4255319148936,0.3,0.0
115,92.5531914893617,25.53191489361702,57.446808510638306,124.46808510638297,0.3,0.1
116,138.82978723404256,11.170212765957446,11.170212765957444,138.82978723404256,0.4,0.0
117,79.7872340425532,14.361702127659575,70.2127659574468,135.63829787234042,0.3,0.0
118,70.2127659574468,11.170212765957446,79.7872340425532,138.82978723404256,0.2,0.0
119,92.5531914893617,23.93617021276596,57.446808510638306,126.06382978723404,0.3,0.1
120,73.40425531914893,27.127659574468083,76.59574468085107,122.87234042553192,0.2,0.1
121,79.7872340425532,15.957446808510639,70.2127659574468,134.04255319148936,0.3,0.1
122,143.61702127659572,33.51063829787234,6.382978723404278,116.48936170212767,0.5,0.1
123,94.14893617021276,27.127659574468083,55.851063829787236,122.87234042553192,0.3,0.1
124,94.14893617021276,27.127659574468083,55.851063829787236,122.87234042553192,0.3,0.1
125,118.08510638297872,12.76595744680851,31.914893617021278,137.2340425531915,0.4,0.0
126,75.0,35.1063829787234,75.0,114.8936170212766,0.2,0.1
127,89.36170212765957,22.340425531914892,60.63829787234043,127.65957446808511,0.3,0.1
128,92.5531914893617,27.127659574468083,57.446808510638306,122.87234042553192,0.3,0.1
129,92.5531914893617,38.29787234042553,57.446808510638306,111.70212765957447,0.3,0.1
130,90.95744680851064,36.702127659574465,59.04255319148936,113.29787234042553,0.3,0.1
131,106.91489361702128,41.48936170212766,43.08510638297872,108.51063829787233,0.3,0.1
132,98.93617021276596,46.27659574468085,51.06382978723404,103.72340425531915,0.3,0.1
133,90.95744680851064,47.87234042553192,59.04255319148936,102.12765957446808,0.3,0.2
134,95.74468085106383,41.48936170212766,54.25531914893617,108.51063829787233,0.3,0.1
135,90.95744680851064,36.702127659574465,59.04255319148936,113.29787234042553,0.3,0.1
136,95.74468085106383,52.659574468085104,54.25531914893617,97.34042553191489,0.3,0.2
137,105.31914893617021,49.46808510638298,44.68085106382979,100.53191489361703,0.3,0.2
138,90.95744680851064,49.46808510638298,59.04255319148936,100.53191489361703,0.3,0.2
139,106.91489361702128,52.659574468085104,43.08510638297872,97.34042553191489,0.3,0.2
140,98.93617021276596,47.87234042553192,51.06382978723404,102.12765957446808,0.3,0.2
141,122.87234042553192,52.659574468085104,27.127659574468083,97.34042553191489,0.4,0.2
142,97.3404255319149,57.4468085106383,52.6595744680851,92.5531914893617,0.3,0.2
143,103.72340425531914,59.04255319148936,46.27659574468086,90.95744680851064,0.3,0.2
144,89.36170212765957,71.80851063829786,60.63829787234043,78.19148936170214,0.3,0.2
145,81.38297872340426,55.851063829787236,68.61702127659574,94.14893617021276,0.3,0.2
146,67.02127659574468,75.0,82.97872340425532,75.0,0.2,0.2
147,79.7872340425532,62.234042553191486,70.2127659574468,87.76595744680851,0.3,0.2
148,97.3404255319149,68.61702127659575,52.6595744680851,81.38297872340425,0.3,0.2
149,103.72340425531914,79.7872340425532,46.27659574468086,70.2127659574468,0.3,0.3
150,106.91489361702128,98.93617021276596,43.08510638297872,51.06382978723404,0.3,0.3
151,110.1063829787234,65.42553191489363,39.8936170212766,84.57446808510637,0.3,0.2
152,95.74468085106383,70.2127659574468,54.25531914893617,79.7872340425532,0.3,0.2
153,98.93617021276596,103.72340425531914,51.06382978723404,46.27659574468086,0.3,0.3
154,100.53191489361703,94.14893617021276,49.46808510638297,55.851063829787236,0.3,0.3
155,79.7872340425532,100.53191489361703,70.2127659574468,49.46808510638297,0.3,0.3
156,52.659574468085104,94.14893617021276,97.34042553191489,55.851063829787236,0.2,0.3
157,110.1063829787234,106.91489361702128,39.8936170212766,43.08510638297872,0.3,0.3
158,89.36170212765957,100.53191489361703,60.63829787234043,49.46808510638297,0.3,0.3
159,98.93617021276596,92.5531914893617,51.06382978723404,57.446808510638306,0.3,0.3
160,127.65957446808511,95.74468085106383,22.34042553191489,54.25531914893617,0.4,0.3
161,110.1063829787234,121.27659574468085,39.8936170212766,28.723404255319153,0.3,0.4
162,71.80851063829786,92.5531914893617,78.19148936170214,57.446808510638306,0.2,0.3
163,124.46808510638297,114.8936170212766,25.531914893617028,35.1063829787234,0.4,0.4
164,89.36170212765957,95.74468085106383,60.63829787234043,54.25531914893617,0.3,0.3
165,76.59574468085106,119.68085106382978,73.40425531914894,30.319148936170222,0.2,0.4
166,89.36170212765957,119.68085106382978,60.63829787234043,30.319148936170222,0.3,0.4
167,63.829787234042556,84.57446808510639,86.17021276595744,65.42553191489361,0.2,0.3
168,78.19148936170212,134.04255319148936,71.80851063829788,15.957446808510639,0.2,0.4
169,113.29787234042554,119.68085106382978,36.70212765957446,30.319148936170222,0.4,0.4
170,102.12765957446808,79.7872340425532,47.87234042553192,70.2127659574468,0.3,0.3
171,86.17021276595744,122.87234042553192,63.829787234042556,27.127659574468083,0.3,0.4
172,78.19148936170212,114.8936170212766,71.80851063829788,35.1063829787234,0.2,0.4
173,84.57446808510639,122.87234042553192,65.42553191489361,27.127659574468083,0.3,0.4
174,105.31914893617021,108.51063829787233,44.68085106382979,41.48936170212767,0.3,0.3
175,95.74468085106383,105.31914893617021,54.25531914893617,44.68085106382979,0.3,0.3
176,111.70212765957447,118.08510638297872,38.29787234042553,31.914893617021278,0.4,0.4
177,79.7872340425532,84.57446808510639,70.2127659574468,65.42553191489361,0.3,0.3
178,70.2127659574468,142.02127659574467,79.7872340425532,7.978723404255334,0.2,0.4
179,116.48936170212767,110.1063829787234,33.51063829787233,39.8936170212766,0.4,0.3
180,103.72340425531914,121.27659574468085,46.27659574468086,28.723404255319153,0.3,0.4
181,106.91489361702128,132.4468085106383,43.08510638297872,17.553191489361694,0.3,0.4
182,103.72340425531914,126.06382978723406,46.27659574468086,23.936170212765944,0.3,0.4
183,82.97872340425532,111.70212765957447,67.02127659574468,38.29787234042553,0.3,0.4
184,62.234042553191486,130.85106382978725,87.76595744680851,19.14893617021275,0.2,0.4
185,114.8936170212766,134.04255319148936,35.1063829787234,15.957446808510639,0.4,0.4
186,92.5531914893617,106.91489361702128,57.446808510638306,43.08510638297872,0.3,0.3
187,90.95744680851064,119.68085106382978,59.04255319148936,30.319148936170222,0.3,0.4
188,95.74468085106383,138.82978723404256,54.25531914893617,11.170212765957444,0.3,0.4
189,100.53191489361703,97.3404255319149,49.46808510638297,52.6595744680851,0.3,0.3
190,82.97872340425532,110.1063829787234,67.02127659574468,39.8936170212766,0.3,0.3
191,102.12765957446808,127.65957446808511,47.87234042553192,22.34042553191489,0.3,0.4
192,106.91489361702128,134.04255319148936,43.08510638297872,15.957446808510639,0.3,0.4
193,82.97872340425532,140.4255319148936,67.02127659574468,9.574468085106389,0.3,0.4
194,113.29787234042554,98.93617021276596,36.70212765957446,51.06382978723404,0.4,0.3
195,98.93617021276596,98.93617021276596,51.06382978723404,51.06382978723404,0.3,0.3
196,105.31914893617021,105.31914893617021,44.68085106382979,44.68085106382979,0.3,0.3
197,135.63829787234044,145.2127659574468,14.361702127659555,4.7872340425531945,0.4,0.5
198,92.5531914893617,132.4468085106383,57.446808510638306,17.553191489361694,0.3,0.4
199,90.95744680851064,129.25531914893617,59.04255319148936,20.744680851063833,0.3,0.4
200,98.93617021276596,132.4468085106383,51.06382978723404,17.553191489361694,0.3,0.4
201,97.3404255319149,127.65957446808511,52.6595744680851,22.34042553191489,0.3,0.4
202,76.59574468085106,118.08510638297872,73.40425531914894,31.914893617021278,0.2,0.4
203,103.72340425531914,126.06382978723406,46.27659574468086,23.936170212765944,0.3,0.4
204,103.72340425531914,118.08510638297872,46.27659574468086,31.914893617021278,0.3,0.4
205,110.1063829787234,111.70212765957447,39.8936170212766,38.29787234042553,0.3,0.4
206,97.3404255319149,103.72340425531914,52.6595744680851,46.27659574468086,0.3,0.3
207,75.0,122.87234042553192,75.0,27.127659574468083,0.2,0.4
208,95.74468085106383,94.14893617021276,54.25531914893617,55.851063829787236,0.3,0.3
209,95.74468085106383,121.27659574468085,54.25531914893617,28.723404255319153,0.3,0.4
210,102.12765957446808,150.0,47.87234042553192,0.0,0.3,0.5
211,111.70212765957447,113.29787234042554,38.29787234042553,36.70212765957446,0.4,0.4
212,78.19148936170212,130.85106382978725,71.80851063829788,19.14893617021275,0.2,0.4
213,121.27659574468085,111.70212765957447,28.723404255319153,38.29787234042553,0.4,0.4
214,94.14893617021276,114.8936170212766,55.851063829787236,35.1063829787234,0.3,0.4
215,94.14893617021276,102.12765957446808,55.851063829787236,47.87234042553192,0.3,0.3
216,84.57446808510639,105.31914893617021,65.42553191489361,44.68085106382979,0.3,0.3
217,90.95744680851064,100.53191489361703,59.04255319148936,49.46808510638297,0.3,0.3
218,103.72340425531914,100.53191489361703,46.27659574468086,49.46808510638297,0.3,0.3
219,100.53191489361703,106.91489361702128,49.46808510638297,43.08510638297872,0.3,0.3
220,110.1063829787234,145.2127659574468,39.8936170212766,4.7872340425531945,0.3,0.5
221,78.19148936170212,108.51063829787233,71.80851063829788,41.48936170212767,0.2,0.3
222,59.04255319148936,118.08510638297872,90.95744680851064,31.914893617021278,0.2,0.4
223,70.2127659574468,134.04255319148936,79.7872340425532,15.957446808510639,0.2,0.4
224,118.08510638297872,90.95744680851064,31.914893617021278,59.04255319148936,0.4,0.3
225,103.72340425531914,94.14893617021276,46.27659574468086,55.851063829787236,0.3,0.3
226,97.3404255319149,82.97872340425532,52.6595744680851,67.02127659574468,0.3,0.3
227,81.38297872340426,100.53191489361703,68.61702127659574,49.46808510638297,0.3,0.3
228,71.80851063829786,97.3404255319149,78.19148936170214,52.6595744680851,0.2,0.3
229,86.17021276595744,114.8936170212766,63.829787234042556,35.1063829787234,0.3,0.4
230,87.7659574468085,116.48936170212767,62.2340425531915,33.51063829787233,0.3,0.4
231,78.19148936170212,98.93617021276596,71.80851063829788,51.06382978723404,0.2,0.3
232,73.40425531914893,111.70212765957447,76.59574468085107,38.29787234042553,0.2,0.4
233,97.3404255319149,134.04255319148936,52.6595744680851,15.957446808510639,0.3,0.4
234,92.5531914893617,114.8936170212766,57.446808510638306,35.1063829787234,0.3,0.4
235,84.57446808510639,95.74468085106383,65.42553191489361,54.25531914893617,0.3,0.3
236,84.57446808510639,95.74468085106383,65.42553191489361,54.25531914893617,0.3,0.3
237,54.25531914893617,90.95744680851064,95.74468085106383,59.04255319148936,0.2,0.3
238,51.06382978723404,94.14893617021276,98.93617021276596,55.851063829787236,0.2,0.3
239,68.61702127659575,110.1063829787234,81.38297872340425,39.8936170212766,0.2,0.3
240,103.72340425531914,90.95744680851064,46.27659574468086,59.04255319148936,0.3,0.3
241,103.72340425531914,82.97872340425532,46.27659574468086,67.02127659574468,0.3,0.3
242,94.14893617021276,124.46808510638297,55.851063829787236,25.531914893617028,0.3,0.4
243,90.95744680851064,89.36170212765957,59.04255319148936,60.63829787234043,0.3,0.3
244,102.12765957446808,94.14893617021276,47.87234042553192,55.851063829787236,0.3,0.3
245,100.53191489361703,95.74468085106383,49.46808510638297,54.25531914893617,0.3,0.3
246,84.57446808510639,102.12765957446808,65.42553191489361,47.87234042553192,0.3,0.3
247,82.97872340425532,95.74468085106383,67.02127659574468,54.25531914893617,0.3,0.3
