rank,state,state_comp,value,comp_pvi
2,Iowa,Missouri,78.5,19.83970086
3,Iowa,Indiana,76.2,19.72467972
4,Iowa,Ohio,75.8,9.673126597
5,Iowa,Kansas,74.6,21.9404712
6,Iowa,Nebraska,73.4,29.50929736
7,Iowa,Minnesota,73.4,-1.821522496
8,Iowa,South Dakota,72.8,31.44709825
9,Iowa,Montana,72.7,19.04432764
10,Iowa,Michigan,72,0.420226814
1,Kansas,Nebraska,87.6,29.50929736
2,Kansas,North Dakota,77.3,35.66519749
3,Kansas,South Dakota,77.2,31.44709825
4,Kansas,Missouri,77.2,19.83970086
5,Kansas,Oklahoma,75.8,37.50759662
6,Kansas,Utah,75,32.06372464
7,Kansas,Iowa,74.6,6.986805164
8,Kansas,Montana,74.2,19.04432764
9,Kansas,Wisconsin,73.7,3.241616102
10,Kansas,Minnesota,69.6,-1.821522496
1,Kentucky,Tennessee,80.3,27.95210789
2,Kentucky,Indiana,78.9,19.72467972
3,Kentucky,Arkansas,75.5,31.71173634
4,Kentucky,West Virginia,74.3,36.67725476
5,Kentucky,Missouri,70.9,19.83970086
6,Kentucky,Ohio,70.3,9.673126597
7,Kentucky,Alabama,67.1,30.12071404
8,Kentucky,South Dakota,62.8,31.44709825
9,Kentucky,Oklahoma,62.6,37.50759662
10,Kentucky,Iowa,60.9,6.986805164
1,Louisiana,Mississippi,84.9,20.60447897
2,Louisiana,Alabama,81,30.12071404
3,Louisiana,South Carolina,70.9,16.71872913
4,Louisiana,Georgia,70.9,8.653037898
5,Louisiana,Arkansas,68.1,31.71173634
6,Louisiana,Tennessee,67.2,27.95210789
7,Louisiana,Oklahoma,62.8,37.50759662
8,Louisiana,Missouri,62.3,19.83970086
9,Louisiana,Kansas,59.1,21.9404712
10,Louisiana,North Carolina,58.7,5.614413959
1,Maine,New Hampshire,82.7,-0.561806883
2,Maine,Vermont,74.1,-31.59664992
3,Maine,Rhode Island,69.3,-18.88398581
4,Maine,Pennsylvania,68.5,1.22511585
5,Maine,Connecticut,65.3,-13.91177299
6,Maine,Iowa,64.9,6.986805164
7,Maine,Wisconsin,62.9,3.241616102
8,Maine,Ohio,61.6,9.673126597
9,Maine,Michigan,61.1,0.420226814
10,Maine,Massachusetts,60.5,-26.97403839
1,Maryland,New York,75.8,-22.52786675
2,Maryland,Delaware,75.1,-14.74814097
3,Maryland,Virginia,69.8,-2.880027279
4,Maryland,New Jersey,68.2,-13.20123044
5,Maryland,Georgia,66.8,8.653037898
6,Maryland,North Carolina,65.4,5.614413959
7,Maryland,Massachusetts,65.3,-26.97403839
8,Maryland,South Carolina,64.9,16.71872913
9,Maryland,Connecticut,62,-13.91177299
10,Maryland,Rhode Island,59.4,-18.88398581
1,Massachusetts,Connecticut,84.4,-13.91177299
2,Massachusetts,Rhode Island,77,-18.88398581
3,Massachusetts,Vermont,75.5,-31.59664992
4,Massachusetts,New York,73.7,-22.52786675
5,Massachusetts,New Jersey,72.4,-13.20123044
6,Massachusetts,New Hampshire,68.4,-0.561806883
7,Massachusetts,Delaware,66.3,-14.74814097
8,Massachusetts,Maryland,65.3,-25.36538251
9,Massachusetts,Virginia,64.3,-2.880027279
10,Massachusetts,Illinois,60.9,-15.12454711
1,Michigan,Pennsylvania,86.9,1.22511585
2,Michigan,Wisconsin,83.9,3.241616102
3,Michigan,Ohio,82.8,9.673126597
4,Michigan,Indiana,74.6,19.72467972
5,Michigan,Missouri,73.7,19.83970086
6,Michigan,Minnesota,72.4,-1.821522496
7,Michigan,Iowa,72,6.986805164
8,Michigan,North Carolina,70.8,5.614413959
9,Michigan,Tennessee,70.7,27.95210789
10,Michigan,Illinois,69.7,-15.12454711
1,Minnesota,Wisconsin,79.4,3.241616102
2,Minnesota,Iowa,73.4,6.986805164
3,Minnesota,Michigan,72.4,0.420226814
4,Minnesota,North Dakota,69.7,35.66519749
5,Minnesota,Kansas,69.6,21.9404712
6,Minnesota,Nebraska,68.2,29.50929736
7,Minnesota,Colorado,67.9,-2.973127033
8,Minnesota,Illinois,67.4,-15.12454711
9,Minnesota,Pennsylvania,66.1,1.22511585
10,Minnesota,New Hampshire,64.9,-0.561806883
1,Mississippi,Louisiana,84.9,24.86084333
2,Mississippi,Alabama,74,30.12071404
3,Mississippi,Georgia,73.2,8.653037898
4,Mississippi,South Carolina,72.5,16.71872913
5,Mississippi,Tennessee,62.1,27.95210789
6,Mississippi,Missouri,61.2,19.83970086
7,Mississippi,Arkansas,60.8,31.71173634
8,Mississippi,North Carolina,60.7,5.614413959
9,Mississippi,Indiana,57.8,19.72467972
10,Mississippi,Kansas,55,21.9404712
1,Missouri,Indiana,88.3,19.72467972
2,Missouri,Ohio,82.6,9.673126597
3,Missouri,Arkansas,81.7,31.71173634
4,Missouri,Tennessee,81.5,27.95210789
5,Missouri,Iowa,78.5,6.986805164
6,Missouri,Kansas,77.2,21.9404712
7,Missouri,South Dakota,74.2,31.44709825
8,Missouri,Michigan,73.7,0.420226814
9,Missouri,Wisconsin,73.7,3.241616102
10,Missouri,Montana,72.1,19.04432764
1,Montana,South Dakota,77.4,31.44709825
2,Montana,North Dakota,75.3,35.66519749
3,Montana,Nebraska,74.4,29.50929736
4,Montana,Kansas,74.2,21.9404712
5,Montana,Wyoming,72.9,48.09267157
6,Montana,Iowa,72.7,6.986805164
7,Montana,Idaho,72.5,36.87980388
8,Montana,Missouri,72.1,19.83970086
9,Montana,Utah,70.8,32.06372464
10,Montana,Oregon,67.4,-10.63313409
1,Nebraska,Kansas,87.6,21.9404712
2,Nebraska,South Dakota,86.8,31.44709825
3,Nebraska,North Dakota,86.5,35.66519749
4,Nebraska,Utah,78.8,32.06372464
5,Nebraska,Montana,74.4,19.04432764
6,Nebraska,Iowa,73.4,6.986805164
7,Nebraska,Wisconsin,73.3,3.241616102
8,Nebraska,Oklahoma,73.1,37.50759662
9,Nebraska,Missouri,72.1,19.83970086
10,Nebraska,Arkansas,69.3,31.71173634
1,Nevada,Arizona,73.3,7.449078603
2,Nevada,Washington,65,-13.97840149
3,Nevada,Oregon,62.1,-10.63313409
4,Nevada,Colorado,60.7,-2.973127033
5,Nevada,California,60.6,-26.54479907
6,Nevada,Texas,56.5,13.4891771
7,Nevada,Utah,56,32.06372464
8,Nevada,Florida,55.9,4.586909528
9,Nevada,New Mexico,54.9,-9.070470147
10,Nevada,Minnesota,53.1,-1.821522496
1,New Hampshire,Vermont,84.2,-31.59664992
2,New Hampshire,Maine,82.7,-5.002556374
3,New Hampshire,Pennsylvania,76.5,1.22511585
4,New Hampshire,Rhode Island,72.5,-18.88398581
5,New Hampshire,Wisconsin,69.9,3.241616102
6,New Hampshire,Massachusetts,68.4,-26.97403839
7,New Hampshire,Connecticut,68.2,-13.91177299
8,New Hampshire,Michigan,68.1,0.420226814
9,New Hampshire,Ohio,65.5,9.673126597
10,New Hampshire,Minnesota,64.9,-1.821522496
1,New Jersey,New York,85.1,-22.52786675
2,New Jersey,Connecticut,85,-13.91177299
3,New Jersey,Virginia,79.5,-2.880027279
4,New Jersey,Delaware,78.8,-14.74814097
5,New Jersey,Illinois,76.1,-15.12454711
6,New Jersey,Rhode Island,74.3,-18.88398581
7,New Jersey,Massachusetts,72.4,-26.97403839
8,New Jersey,Maryland,68.2,-25.36538251
9,New Jersey,Pennsylvania,68.1,1.22511585
10,New Jersey,North Carolina,67.6,5.614413959
1,New Mexico,Texas,65.3,13.4891771
2,New Mexico,Arizona,63.1,7.449078603
3,New Mexico,Colorado,60.8,-2.973127033
4,New Mexico,Nevada,54.9,0.008642973
5,New Mexico,California,51.5,-26.54479907
