date,approve,disapprove,updated
01/22/2017,45.513756277558926,40.88994977952858,Mar. 29 2020 03:40 PM
01/23/2017,45.340110733172146,42.61710619812,Mar. 29 2020 03:40 PM
01/24/2017,46.02754342414468,43.89722101167109,Mar. 29 2020 03:40 PM
01/25/2017,44.77319973368676,43.426801502816666,Mar. 29 2020 03:40 PM
01/26/2017,44.9686380947274,44.24663847317455,Mar. 29 2020 03:40 PM
01/27/2017,44.909157228316396,44.76227788598473,Mar. 29 2020 03:40 PM
01/28/2017,45.16894957962132,45.05156999065836,Mar. 29 2020 03:40 PM
01/29/2017,45.81083894885238,45.393358318861225,Mar. 29 2020 03:40 PM
01/30/2017,46.30880521759513,45.79155339454289,Mar. 29 2020 03:40 PM
01/31/2017,46.565773448435365,46.159169148721276,Mar. 29 2020 03:40 PM
02/01/2017,46.755726376477405,46.52870061823598,Mar. 29 2020 03:40 PM
02/02/2017,46.265149957022345,47.086438516133846,Mar. 29 2020 03:40 PM
02/03/2017,46.243847463874744,47.26505086036786,Mar. 29 2020 03:40 PM
02/04/2017,46.22909427948539,47.30890349716386,Mar. 29 2020 03:40 PM
02/05/2017,46.469647043468946,47.43278436742275,Mar. 29 2020 03:40 PM
02/06/2017,46.55344336092553,47.781662774592064,Mar. 29 2020 03:40 PM
02/07/2017,46.58581053048498,47.94007428927081,Mar. 29 2020 03:40 PM
02/08/2017,46.71744118218933,48.15943091123433,Mar. 29 2020 03:40 PM
02/09/2017,46.91567195726615,48.1962897372692,Mar. 29 2020 03:40 PM
02/10/2017,46.88126001110535,48.32632235642227,Mar. 29 2020 03:40 PM
02/11/2017,46.8135378810748,48.45584513569467,Mar. 29 2020 03:40 PM
02/12/2017,46.528583696309305,48.94612975750379,Mar. 29 2020 03:40 PM
02/13/2017,46.655630315695845,49.00710869912624,Mar. 29 2020 03:40 PM
02/14/2017,46.50782194788508,49.14257173825313,Mar. 29 2020 03:40 PM
02/15/2017,46.5753278287606,49.22469338344944,Mar. 29 2020 03:40 PM
02/16/2017,46.59145533926076,49.360023301141155,Mar. 29 2020 03:40 PM
02/17/2017,46.3587227906305,49.745299751051846,Mar. 29 2020 03:40 PM
02/18/2017,45.965228368036236,50.112974318913096,Mar. 29 2020 03:40 PM
02/19/2017,44.76459529251531,49.97361005333793,Mar. 29 2020 03:40 PM
02/20/2017,44.75910991101077,50.03280421236589,Mar. 29 2020 03:40 PM
02/21/2017,44.17673600634016,50.34529117153166,Mar. 29 2020 03:40 PM
02/22/2017,44.36436692155836,49.983434567307725,Mar. 29 2020 03:40 PM
02/23/2017,44.51806616458081,49.88915027639778,Mar. 29 2020 03:40 PM
02/24/2017,44.45926913422077,49.88692384663594,Mar. 29 2020 03:40 PM
02/25/2017,44.484209722620975,49.82020456348384,Mar. 29 2020 03:40 PM
02/26/2017,44.89219829934741,49.606582733308755,Mar. 29 2020 03:40 PM
02/27/2017,45.170380189647354,49.5647786189494,Mar. 29 2020 03:40 PM
02/28/2017,45.503233859431084,49.476012053617964,Mar. 29 2020 03:40 PM
03/01/2017,45.72406268396935,49.42746362797218,Mar. 29 2020 03:40 PM
03/02/2017,46.0038918019491,49.37690895942977,Mar. 29 2020 03:40 PM
03/03/2017,46.057474965994814,49.36425414817811,Mar. 29 2020 03:40 PM
03/04/2017,45.81128582743929,49.51535347990713,Mar. 29 2020 03:40 PM
03/05/2017,45.68749768825443,48.35886761448118,Mar. 29 2020 03:40 PM
03/06/2017,45.74761906476315,48.197605817644174,Mar. 29 2020 03:40 PM
03/07/2017,45.77207262690619,48.209979861374116,Mar. 29 2020 03:40 PM
03/08/2017,45.943620636745536,48.208051898768396,Mar. 29 2020 03:40 PM
03/09/2017,46.22506565799498,48.214510162110805,Mar. 29 2020 03:40 PM
03/10/2017,46.519587497815856,48.0885144807528,Mar. 29 2020 03:40 PM
03/11/2017,46.72991643596938,48.06346949804045,Mar. 29 2020 03:40 PM
03/12/2017,46.44052994286583,48.66683706629793,Mar. 29 2020 03:40 PM
03/13/2017,46.498127825723905,48.89055690545829,Mar. 29 2020 03:40 PM
03/14/2017,45.861342497984275,49.41586017311777,Mar. 29 2020 03:40 PM
03/15/2017,45.68685699482619,49.686203440046455,Mar. 29 2020 03:40 PM
03/16/2017,45.571883808028915,50.07220209591055,Mar. 29 2020 03:40 PM
03/17/2017,45.3778435061213,50.23084868481451,Mar. 29 2020 03:40 PM
03/18/2017,44.97088904035265,50.56226247774943,Mar. 29 2020 03:40 PM
03/19/2017,45.135025527779455,50.4300978995829,Mar. 29 2020 03:40 PM
03/20/2017,45.221128534276026,50.46221347461784,Mar. 29 2020 03:40 PM
03/21/2017,44.861184818205324,50.573803266826715,Mar. 29 2020 03:40 PM
03/22/2017,45.03408040696928,50.51590400168281,Mar. 29 2020 03:40 PM
03/23/2017,45.225481300146676,50.52868403724555,Mar. 29 2020 03:40 PM
03/24/2017,45.38824501942962,50.35933556405315,Mar. 29 2020 03:40 PM
03/25/2017,45.35150011609107,50.31538879754924,Mar. 29 2020 03:40 PM
03/26/2017,44.99508567882821,50.57550324867014,Mar. 29 2020 03:40 PM
03/27/2017,42.882698273032645,50.91966001428839,Mar. 29 2020 03:40 PM
03/28/2017,42.28052953496899,51.24461953353402,Mar. 29 2020 03:40 PM
03/29/2017,42.005421813003146,51.54605115035985,Mar. 29 2020 03:40 PM
03/30/2017,41.78952923521604,51.75847498326183,Mar. 29 2020 03:40 PM
03/31/2017,41.98755582387604,51.63689670720146,Mar. 29 2020 03:40 PM
