DATE,RPI,Model date,3avg,6avg,9avg,12avg,15avg,18avg,21avg,24avg,avg,normalize,3avg.1,6avg.1,9avg.1,12avg.1,15avg.1,18avg.1,21avg.1,24avg.1,3avg.2,6avg.2,9avg.2,12avg.2,15avg.2,18avg.2,21avg.2,24avg.2,avg.1,normalize.1,date,index,0.6499300292475749,ag2
2019-11-01,17133.896,2019-12-01,17097.02,17043.846999999998,17002.94911111111,16951.478583333334,16874.098133333333,16812.508277777775,16751.954190476186,16692.645999999997,16903.312662003966,0.9818083314428026,17038.444,16935.76,16872.768,16580.853,16562.045,16406.018,16325.587,16139.777,0.003437872613250459,0.0063821759401407885,0.007715456711732793,0.02235262464080323,0.018841461506313717,0.024776900633522114,0.026116499852421038,0.03425505817087782,0.017984756258632745,0.6167421990280522,2019-12-01,0.6499300292475749,,
2019-10-01,17068.518,2019-11-01,17065.202666666668,17010.824333333334,16973.934888888893,16905.391666666666,16835.974733333333,16772.070611111107,16713.463285714282,16651.224374999998,16866.010820089286,0.9818303788659422,16956.947,16915.148,16790.073,16564.283,16501.04,16384.746,16294.367,16080.016,0.006384148435839787,0.005656251623298303,0.010950630702373454,0.020593023354326112,0.020297795371281513,0.023639341806769965,0.025720317071186827,0.035522873546891987,0.018595547738995993,0.6384941653812916,2019-11-01,0.6697065484253507,,
2019-09-01,17088.646,2019-10-01,17028.012333333332,16985.262666666666,16942.996555555557,16863.372083333335,16798.14286666667,16734.083277777776,16676.59895238095,16610.036791666666,16829.813190922618,0.9818746521081174,16976.631,16912.552,16728.36,16548.593,16450.592,16375.125,16212.512,16012.947,0.003026591868158679,0.004299213191874651,0.012830699217111441,0.01902150130427005,0.02112695194596448,0.0219209488646821,0.028625234163647928,0.037287939044990726,0.018517384950087507,0.6342972198071481,2019-10-01,0.6658951681981453,,
2019-08-01,17038.444,2019-09-01,16990.674000000003,16955.913666666667,16902.96477777778,16818.36766666667,16755.605933333332,16694.443222222224,16634.878285714287,16565.216,16789.75794404762,0.9818131023594158,16935.76,16872.768,16580.853,16562.045,16406.018,16325.587,16139.777,15961.424,0.003242488084385098,0.004927802401281545,0.0194267314098846,0.015476510700621171,0.021308518211630156,0.022593749445102507,0.030675844264408836,0.03782820379936025,0.01943498103958427,0.6665908421303459,2019-09-01,0.6952474112420796,,
2019-07-01,16956.947,2019-08-01,16956.446,16928.301,16852.121333333333,16778.667749999997,16713.4442,16654.840055555556,16592.08461904762,16520.340166666665,16749.530640575395,0.9817382925921952,16915.148,16790.073,16564.283,16501.04,16384.746,16294.367,16080.016,15926.788,0.002441480263725593,0.008232721799363185,0.01737704755064451,0.016824863766162323,0.02006123256350767,0.022122556559303952,0.03184503168700936,0.03726753735069899,0.019521558942551948,0.6678304974738651,2019-08-01,0.6963675697573497,,
2019-06-01,16976.631,2019-07-01,16942.513000000003,16900.488666666668,16808.492,16740.6755,16675.297466666667,16618.03005555556,16550.326,16477.416875,16714.154945486112,0.9817838907588528,16912.552,16728.36,16548.593,16450.592,16375.125,16212.512,16012.947,15878.935,0.001771524486665399,0.010289631898564355,0.01570520224891614,0.01763362072319352,0.018331003071223373,0.025012660317880187,0.03355903195083343,0.037690303222476684,0.019999122239969136,0.6828780343354375,2019-07-01,0.7100512940102933,,
2019-05-01,16935.76,2019-06-01,16921.153333333332,16859.110166666665,16760.93222222222,16696.838916666668,16635.197066666668,16575.579,16504.436285714288,16431.67954166667,16673.115816617064,0.981673631623979,16872.768,16580.853,16562.045,16406.018,16325.587,16139.777,15961.424,15885.031,0.0028676583079512152,0.016781836656212246,0.012008615012350399,0.017726477970868126,0.01896471267260824,0.027001736145425115,0.03402029077820923,0.03441280924580292,0.020473017098678437,0.6972089451113443,2019-06-01,0.7230693711579476,,
2019-04-01,16915.148,2019-05-01,16900.156,16799.959,16719.408333333333,16652.693750000002,16594.518866666665,16531.357722222223,16458.039333333334,16387.899166666666,16630.504021527777,0.9815113559151141,16790.073,16564.283,16501.04,16384.746,16294.367,16080.016,15926.788,15822.075,0.006556433673635453,0.014227962659174587,0.013233610325975365,0.016353488177357267,0.018420590788624347,0.028068487134728093,0.03335583630128891,0.0357616916028185,0.020747262582950315,0.7038446642382351,2019-05-01,0.7290870907543151,,
2019-03-01,16912.552,2019-04-01,16858.464333333333,16741.481499999998,16673.396333333334,16608.493583333333,16553.133466666666,16484.9615,16410.97457142857,16342.354458333335,16584.157468303572,0.9812344273236842,16728.36,16548.593,16450.592,16375.125,16212.512,16012.947,15878.935,15829.723,0.007777470913665985,0.011655885186130144,0.013543848958951443,0.014251407750067946,0.02100978964065936,0.029477053786539198,0.03350599844564961,0.032384107942592166,0.02045069532803198,0.6909175126867315,2019-04-01,0.717309959471909,,
2019-02-01,16872.768,2019-03-01,16797.067,16680.821666666667,16622.067444444445,16563.708,16506.46413333333,16434.983444444442,16361.754714285711,16297.236583333332,16533.01287331349,0.9808037417295008,16580.853,16562.045,16406.018,16325.587,16139.777,15961.424,15885.031,15755.058,0.013039980512462135,0.007171618400183544,0.013168914263317566,0.01458575425189923,0.022719467148358374,0.029668997230099414,0.030010877176488426,0.03441298555253369,0.020597324316917798,0.6928788342507068,2019-03-01,0.7190538258396881,,
