Date,Price,Model date,3avg,6avg,9avg,12avg,15avg,18avg,21avg,24avg,avg,normalize,3avg.1,6avg.1,9avg.1,12avg.1,15avg.1,18avg.1,21avg.1,24avg.1,3avg.2,6avg.2,9avg.2,12avg.2,15avg.2,18avg.2,21avg.2,24avg.2,avg.1,normalize.1,date,index,0.6616936836405538,ag2
1977-05-01 00:00:00,98.76,1977-05-01,99.46999999999998,101.31833333333333,101.83444444444444,102.15083333333332,102.00066666666666,100.89833333333333,99.02285714285712,97.91999999999997,100.57693353174601,0.8552820246200108,101.0,101.2,103.3,101.2,100.6,90.07,85.71,90.1,-0.015148514851485273,0.0011693017127798466,-0.014187372270624943,0.009395586297760161,0.013923127899271082,0.1202213093519855,0.155324432888311,0.08679245283018844,0.044686290482273225,0.5922051120180765,1977-05-01,0.6297875281040671,,
1977-04-01 00:00:00,99.05,1977-04-01,100.21666666666665,101.72500000000001,102.33888888888889,102.35416666666667,102.12333333333332,100.41555555555554,98.40142857142857,97.55916666666666,100.6417757936508,0.8576679181687624,103.8,101.9,104.2,101.9,96.86,88.57,92.49,84.72,-0.03452151573538864,-0.0017173699705593792,-0.017860951162294803,0.004456983971213635,0.05433959666873145,0.1337423005030547,0.06391424555550418,0.15154823733081502,0.04423769089513452,0.5897728970537583,1977-04-01,0.6280436143559018,,
1977-03-01 00:00:00,100.6,1977-03-01,101.8,102.19999999999999,102.9111111111111,102.59166666666668,101.97733333333332,99.83333333333331,98.08904761904762,96.96208333333333,100.79557192460318,0.861076086936238,104.7,105.5,101.8,101.1,88.7,84.67,92.4,83.78,-0.02769818529130852,-0.03127962085308067,0.010914647456887083,0.014754368611935575,0.1496880871852686,0.17908743750246026,0.06156977942692232,0.15734164876263224,0.06429727035021461,0.7100378072347036,1977-03-01,0.7316147043349227,,
1977-02-01 00:00:00,101.0,1977-02-01,103.16666666666667,103.01666666666667,103.04444444444444,102.63333333333333,101.18399999999998,98.94833333333332,97.69857142857141,96.26124999999998,100.74415823412697,0.8621432705622374,101.2,103.3,101.2,100.6,90.07,85.71,90.1,80.1,0.019433465085638923,-0.0027428202646014865,0.018225735617039884,0.020212060967528256,0.12339291662040619,0.15445494496947076,0.08433486602188034,0.2017634207240946,0.07738432371768218,0.7783242212417322,1977-02-01,0.7902983711446615,,
1977-01-01 00:00:00,103.8,1977-01-01,103.23333333333333,103.39999999999999,103.06666666666666,102.59999999999998,100.45533333333331,98.09888888888888,97.1795238095238,95.39041666666667,100.42802033730158,0.8602336616842221,101.9,104.2,101.9,96.86,88.57,92.49,84.72,72.56,0.013084723585214286,-0.007677543186180524,0.011449133137062306,0.059260788767292905,0.13419141168943582,0.06064319265746443,0.14706708934754253,0.3146419055494303,0.09158258769340775,0.8408667269553372,1977-01-01,0.8436334319166064,,
1976-12-01 00:00:00,104.7,1976-12-01,102.60000000000001,103.46666666666668,102.85555555555555,102.02166666666665,99.43999999999998,97.47055555555555,96.27095238095237,94.08874999999999,99.7767683531746,0.8544376102790481,105.5,101.8,101.1,88.7,84.67,92.4,83.78,67.07,-0.027488151658767723,0.016371971185330958,0.017364545554456656,0.15018789928598242,0.17444195110428695,0.054876142376142134,0.14909229387625156,0.40284404353660364,0.11721133690753582,0.9216077913992344,1976-12-01,0.9120120512392079,,
1976-11-01 00:00:00,101.2,1976-11-01,102.86666666666667,102.98333333333333,102.45555555555556,100.68833333333333,98.10466666666666,96.78722222222223,95.2747619047619,92.52083333333333,98.96017162698413,0.8464986323243224,103.3,101.2,100.6,90.07,85.71,90.1,80.1,71.74,-0.004194901581155097,0.017621870882740476,0.018444886238127012,0.11788978942304151,0.14461167502819583,0.07422000246639548,0.18944771416681538,0.2896687110863303,0.10596371846381136,0.8916179133533297,1976-11-01,0.8851723017777572,,
1976-10-01 00:00:00,101.9,1976-10-01,103.56666666666666,102.98333333333333,102.38888888888889,99.76083333333332,97.07199999999999,96.17055555555555,94.27,91.29333333333334,98.43820138888887,0.8419267744615914,104.2,101.9,96.86,88.57,92.49,84.72,72.56,69.44,-0.006078055022392892,0.010631337912986538,0.057081239819212204,0.12635015618531487,0.04954049086387702,0.13515764347917325,0.29920066152149927,0.31470814132104463,0.12332395201008936,0.9352356235125631,1976-10-01,0.9219057879338529,,
1976-09-01 00:00:00,105.5,1976-09-01,104.33333333333333,102.98333333333333,101.8288888888889,98.64999999999999,96.44466666666668,95.21611111111112,92.87285714285714,89.94083333333333,97.78375297619047,0.8356208882488821,101.8,101.1,88.7,84.67,92.4,83.78,67.07,68.12,0.024885396201702603,0.018628420705572024,0.148014530878116,0.16511160977914252,0.04377344877344891,0.13650168430545606,0.3847153293999874,0.32032932080641996,0.1552449676062307,0.9790057214820715,1976-09-01,0.9585221738773303,,
1976-08-01 00:00:00,103.3,1976-08-01,103.10000000000001,102.25,99.96222222222224,96.91416666666667,95.57133333333334,94.00944444444445,91.04285714285713,88.38333333333333,96.40416964285714,0.8197134409749971,101.2,100.6,90.07,85.71,90.1,80.1,71.74,76.03,0.018774703557312256,0.016401590457256532,0.10982815834597814,0.13072181386847137,0.06072512023677423,0.17365099181578603,0.26906686845354244,0.16247972291639257,0.1177061212064392,0.9227205722576163,1976-08-01,0.9080052677886706,,
1976-07-01 00:00:00,104.2,1976-07-01,102.39999999999999,101.80000000000001,98.49222222222222,95.44833333333334,94.69133333333335,92.72055555555556,89.53999999999999,87.24708333333335,95.29244097222222,0.8065902025908476,101.9,96.86,88.57,92.49,84.72,72.56,69.44,79.31,0.004906771344455274,0.05100144538509199,0.11202689649116215,0.03198543986737312,0.11769751337740031,0.2778466862673037,0.2894585253456221,0.10007670323204332,0.1231249976638065,0.9335367710959964,1976-07-01,0.9154015470238323,,
1976-06-01 00:00:00,101.8,1976-06-01,101.63333333333333,100.57666666666667,96.75555555555555,94.47249999999998,93.39266666666666,90.96277777777776,87.88476190476189,86.21,93.98603273809522,0.7901266607965783,101.1,88.7,84.67,92.4,83.78,67.07,68.12,89.79,0.005275304978568984,0.1338970311912815,0.1427371625789009,0.022429653679653327,0.11473700962839173,0.3562364362274901,0.2901462405279196,-0.03987080966700096,0.12819850364315066,0.9425342439397315,1976-06-01,0.9207617320621381,,
