DATE,UNRATE,Model date,3avg,6avg,9avg,12avg,15avg,18avg,21avg,24avg,avg,normalize,3avg.1,6avg.1,9avg.1,12avg.1,15avg.1,18avg.1,21avg.1,24avg.1,3avg.2,6avg.2,9avg.2,12avg.2,15avg.2,18avg.2,21avg.2,24avg.2,avg.1,normalize.1,date,index,0.7916089527029311,ag2
2019-12-01,3.5,2020-01-01,3.533333333333333,3.5833333333333335,3.5999999999999996,3.666666666666666,3.693333333333333,3.705555555555555,3.7380952380952372,3.7791666666666655,3.6624355158730153,0.9016432462376893,3.5,3.7,3.8,3.9,3.7,4.0,4.0,4.1,0.00952380952380949,-0.03153153153153154,-0.052631578947368474,-0.05982905982905995,-0.0018018018018020054,-0.0736111111111113,-0.06547619047619069,-0.07825203252032542,-0.044201187086697485,0.6815746591681728,2020-01-01,0.7916089527029311,,
2019-11-01,3.5,2019-12-01,3.533333333333333,3.6166666666666667,3.6333333333333337,3.6999999999999997,3.7066666666666666,3.7333333333333325,3.7619047619047614,3.8041666666666654,3.686175595238095,0.8998623701332171,3.7,3.6,3.8,3.7,3.8,3.8,4.1,4.2,-0.04504504504504514,0.004629629629629539,-0.04385964912280682,0.0,-0.024561403508771895,-0.017543859649122973,-0.0824622531939605,-0.09424603174603208,-0.03788607657951373,0.6593546626462644,2019-12-01,0.7796085163897408,,
2019-10-01,3.6,2019-11-01,3.6,3.6333333333333333,3.6666666666666665,3.716666666666667,3.7266666666666666,3.75,3.7904761904761903,3.8333333333333326,3.714642857142857,0.897558806538537,3.7,3.6,4.0,3.8,3.8,4.0,4.1,4.1,-0.027027027027027084,0.0092592592592593,-0.08333333333333337,-0.021929824561403466,-0.019298245614035037,-0.0625,-0.07549361207897787,-0.0650406504065042,-0.043170429220252715,0.6782861052436595,2019-11-01,0.7879224558910982,,
2019-09-01,3.5,2019-10-01,3.6333333333333333,3.633333333333334,3.7111111111111117,3.733333333333334,3.74,3.7722222222222226,3.814285714285714,3.854166666666666,3.7364732142857147,0.8959072230411338,3.7,3.8,3.9,3.7,4.0,4.0,4.1,4.2,-0.018018018018018056,-0.04385964912280671,-0.0484330484330483,0.009009009009009139,-0.06499999999999995,-0.05694444444444435,-0.06968641114982577,-0.08234126984126999,-0.0469092290000505,0.6912984235887465,2019-10-01,0.7936028233149401,,
2019-08-01,3.7,2019-09-01,3.7000000000000006,3.6833333333333336,3.755555555555556,3.7500000000000004,3.7733333333333334,3.8000000000000003,3.8428571428571425,3.883333333333333,3.7735515873015877,0.8925930266958295,3.6,3.8,3.7,3.8,3.8,4.1,4.2,4.4,0.0277777777777779,-0.030701754385964786,0.01501501501501501,-0.013157894736841924,-0.007017543859649034,-0.07317073170731692,-0.08503401360544227,-0.11742424242424265,-0.035464173490833084,0.650967289689697,2019-09-01,0.7717801581927632,,
2019-07-01,3.7,2019-08-01,3.6666666666666665,3.6999999999999997,3.755555555555555,3.758333333333333,3.7799999999999994,3.822222222222221,3.8666666666666654,3.912499999999999,3.7827430555555552,0.892221921897651,3.6,4.0,3.8,3.8,4.0,4.1,4.1,4.3,0.01851851851851838,-0.07500000000000007,-0.011695906432748648,-0.010964912280701844,-0.05500000000000016,-0.06775067750677521,-0.056910569105691255,-0.0901162790697676,-0.0436149782346458,0.6801975723838667,2019-08-01,0.7862097471407589,,
2019-06-01,3.7,2019-07-01,3.6333333333333333,3.75,3.7666666666666666,3.766666666666666,3.7999999999999994,3.8444444444444437,3.885714285714285,3.9374999999999996,3.7980406746031745,0.8911852978380819,3.8,3.9,3.7,4.0,4.0,4.1,4.2,4.3,-0.04385964912280693,-0.038461538461538436,0.018018018018018056,-0.05833333333333346,-0.050000000000000155,-0.06233062330623318,-0.07482993197278942,-0.08430232558139539,-0.049262422970009864,0.699641380648413,2019-07-01,0.7954133392432474,,
2019-05-01,3.6,2019-06-01,3.6666666666666665,3.783333333333333,3.7666666666666666,3.791666666666666,3.8199999999999994,3.8666666666666654,3.9095238095238085,3.962499999999999,3.820877976190475,0.8893052483427327,3.8,3.7,3.8,3.8,4.1,4.2,4.4,4.4,-0.03508771929824561,0.022522522522522515,-0.00877192982456132,-0.002192982456140413,-0.06829268292682933,-0.07936507936507975,-0.11147186147186172,-0.09943181818181845,-0.04776144387525176,0.6946980881131227,2019-06-01,0.7920016682279277,,
2019-04-01,3.6,2019-05-01,3.733333333333333,3.7999999999999994,3.7888888888888883,3.8083333333333322,3.8533333333333326,3.8999999999999995,3.9476190476190474,3.995833333333333,3.853417658730158,0.886307741878714,4.0,3.8,3.8,4.0,4.1,4.1,4.3,4.4,-0.06666666666666676,0.0,-0.0029239766081872176,-0.04791666666666694,-0.06016260162601639,-0.04878048780487809,-0.08194905869324476,-0.09185606060606077,-0.05003193983396512,0.7026582390516353,2019-05-01,0.7944829904651747,,
2019-03-01,3.8,2019-04-01,3.8666666666666667,3.8333333333333335,3.811111111111111,3.8416666666666663,3.8866666666666663,3.927777777777777,3.9809523809523806,4.029166666666667,3.897167658730159,0.8819259629522576,3.9,3.7,4.0,4.0,4.1,4.2,4.3,4.4,-0.008547008547008517,0.03603603603603611,-0.047222222222222276,-0.039583333333333415,-0.052032520325203224,-0.06481481481481499,-0.07419712070874862,-0.0842803030303031,-0.04183016086819975,0.6739614378458976,2019-04-01,0.7779437003990776,,
