observation_date,INDPRO,Model date,3avg,6avg,9avg,12avg,15avg,18avg,21avg,24avg,avg,normalize,3avg.1,6avg.1,9avg.1,12avg.1,15avg.1,18avg.1,21avg.1,24avg.1,3avg.2,6avg.2,9avg.2,12avg.2,15avg.2,18avg.2,21avg.2,24avg.2,avg.1,normalize.1,date,index,0.5218356136284106,ag2
1998-08-01,88.6247,1998-09-01,87.53733333333332,87.37801666666667,87.09793333333333,86.62316666666668,85.88557333333333,85.15555555555557,84.43498095238097,83.72474583333334,85.97966320932541,0.9948672112935472,87.6952,86.7612,85.9397,83.7214,81.8293,80.793,79.1996,78.016,-0.001800174543950872,0.0071093607126995195,0.013477279224076044,0.03465979626077287,0.04956993807026722,0.053996702134536,0.06610362871000564,0.07317403908599962,0.037036321206800754,0.8643908226474393,1998-09-01,0.8762523125243582,,
1998-07-01,86.8423,1998-08-01,87.2275,87.06743333333333,86.7996,86.21455833333333,85.43254666666667,84.7204611111111,83.98616666666666,83.28271666666667,85.59137284722223,0.9949025694974793,87.1411,86.6474,85.1918,82.8557,81.3531,79.8273,78.5065,77.5662,0.0009914954022844924,0.004847616123891951,0.01887270840620814,0.04053865133398582,0.050144944281983905,0.061296838438868795,0.06979889138691275,0.0736985525482321,0.040023712240295994,0.8961496823137494,1998-08-01,0.9051272175122704,,
1998-06-01,87.145,1998-07-01,87.32709999999999,87.03494999999998,86.6162111111111,85.88234166666666,85.06660000000001,84.3307388888889,83.58922380952382,82.8962125,85.34292224702381,0.9951464744288384,86.8198,86.2047,84.4651,82.2285,81.334,79.7143,78.5532,77.6669,0.00584313716456375,0.009631145401584496,0.025467454737058137,0.04443522217560414,0.04589224678486259,0.05791230543188508,0.0641097219403386,0.0673300015836864,0.0400776544024479,0.8968194069645393,1998-07-01,0.9057582312794756,,
1998-05-01,87.6952,1998-06-01,87.2187,86.87823333333331,86.31844444444442,85.47263333333332,84.67920000000001,83.91792222222223,83.18009047619049,82.50129166666667,85.02081443452381,0.9952723069682408,86.7612,85.9397,83.7214,81.8293,80.793,79.1996,78.016,77.0161,0.0052730944246968114,0.010920835578124066,0.031020079029309366,0.04452357936989948,0.048100701793472256,0.059575076417333284,0.06619271016445971,0.07122136367157883,0.042103430056109226,0.9152431491982214,1998-06-01,0.922518527177314,,
1998-04-01,87.1411,1998-05-01,86.90736666666665,86.58564999999999,85.87691111111111,84.98380833333333,84.21905333333333,83.44594444444445,82.71917619047619,82.05632916666667,84.59927990575397,0.9952409778305975,86.6474,85.1918,82.8557,81.3531,79.8273,78.5065,77.5662,76.4562,0.003000282370465124,0.016361316464730047,0.03646352768863359,0.04462901024464139,0.055015681769687186,0.06291764942322553,0.06643326849163933,0.07324623989508594,0.04475837204351352,0.9356269811138906,1998-05-01,0.941046435360864,,
1998-03-01,86.8198,1998-04-01,86.7428,86.26076666666667,85.40075555555556,84.501475,83.73146666666665,82.96624444444443,82.26322857142857,81.611125,84.18473273809524,0.9952070658997335,86.2047,84.4651,82.2285,81.334,79.7143,78.5532,77.6669,75.7631,0.006242119049193473,0.02125927355400825,0.03857854096275104,0.03894404554061026,0.05039455488747513,0.056179053742488216,0.05918001840460452,0.07718830142905997,0.04349573844627386,0.9274659717393902,1998-04-01,0.9336242530266943,,
1998-02-01,86.7612,1998-03-01,86.53776666666666,85.86831666666667,84.89061111111111,84.044325,83.25776666666667,82.50698888888888,81.82737619047619,81.15042916666667,83.76044754464286,0.9951462766470266,85.9397,83.7214,81.8293,80.793,79.1996,78.016,77.0161,75.8344,0.00695914305805867,0.025643582962858513,0.03741094096015862,0.04024265716089248,0.05123973690102801,0.05756497242730818,0.06247104424238814,0.0701004974875079,0.043954071900025066,0.9315520748252327,1998-03-01,0.9373333658999413,,
1998-01-01,86.6474,1998-02-01,86.26393333333334,85.36168333333335,84.34262222222223,83.546975,82.75366000000001,82.02114444444446,81.36332380952382,80.69514583333334,83.29356099702383,0.9950036450137141,85.1918,82.8557,81.3531,79.8273,78.5065,77.5662,76.4562,74.6841,0.012584935795855179,0.030245153119620616,0.03674748992014121,0.046596527754289685,0.054099469470680894,0.057434094289064985,0.06418215670571947,0.08048628601447083,0.04779701413373036,0.9554082503059579,1998-02-01,0.9590078316430266,,
1997-12-01,86.2047,1998-01-01,85.77873333333334,84.72973333333334,83.75436666666667,82.97863333333333,82.21093333333333,81.51663333333335,80.87802857142859,80.196675,82.75546711309525,0.9947178181435862,84.4651,82.2285,81.334,79.7143,78.5532,77.6669,75.7631,75.1755,0.015552380016519596,0.030418082943667324,0.02975836263637177,0.040950410821312344,0.04656377249218768,0.04956723305981492,0.0675121341580347,0.0667927050701358,0.043389385149755516,0.9282109559970148,1998-01-01,0.9342570343739758,,
1997-11-01,85.9397,1997-12-01,85.19886666666667,84.06703333333334,83.2131777777778,82.43776666666669,81.70083333333335,81.04231111111113,80.38080952380953,79.737125,82.22224042658732,0.9943999701273467,83.7214,81.8293,80.793,79.1996,78.016,77.0161,75.8344,74.8897,0.017647419496886974,0.02734635800786922,0.029955290406072255,0.040886149256646354,0.04723176442439181,0.05227752523318041,0.05995180978302095,0.064727525948161,0.04250298031952862,0.921167639717086,1997-12-01,0.927825124299837,,
1997-10-01,85.1918,1997-11-01,84.45943333333334,83.38196666666667,82.64132222222223,81.87609166666668,81.17258666666667,80.54655555555557,79.89960476190477,79.27670833333333,81.65678365079367,0.9939720464173637,82.8557,81.3531,79.8273,78.5065,77.5662,76.4562,74.6841,74.7017,0.019355739355691126,0.02493902096744538,0.03525137668720135,0.04292118062410988,0.046494306368839444,0.053499331062171196,0.06983420516421535,0.06124369771147542,0.04419235724264364,0.9333500334086601,1997-11-01,0.9388611255003604,,
1997-09-01,84.4651,1997-10-01,83.68073333333335,82.74218333333333,82.04526666666668,81.31898333333334,80.66421333333334,80.06124444444445,79.39923809523809,78.83962083333334,81.093935421627,0.9934851495978667,82.2285,81.334,79.7143,78.5532,77.6669,75.7631,75.1755,74.7937,0.017660948859985925,0.017313587593544177,0.029241512083361343,0.03520904728684937,0.03859190122604783,0.0567313698151799,0.05618503495471394,0.054094406792729144,0.038128476076551454,0.8786157022726213,1997-10-01,0.889058379302189,,
1997-08-01,83.7214,1997-09-01,82.9352,82.22033333333333,81.51740000000001,80.826325,80.211,79.5778,78.9568761904762,78.43664583333333,80.58519754464285,0.9930510779453049,81.8293,80.793,79.1996,78.016,77.0161,75.8344,74.8897,74.495,0.013514719055399471,0.017666547019337342,0.029265299319693572,0.03602241847826071,0.04148353396237936,0.049362822149314756,0.05430888614156815,0.052911548873526115,0.036816971874934934,0.8621751361201966,1997-09-01,0.8740729490133883,,
1997-07-01,82.8557,1997-08-01,82.3045,81.73226666666666,81.01497777777779,80.350875,79.76398,79.13963333333334,78.53631904761905,78.0522125,80.11184554067461,0.9926434800583147,81.3531,79.8273,78.5065,77.5662,76.4562,74.6841,74.7017,73.5664,0.011694698788368374,0.023863598877409853,0.031952485179925105,0.03590062424097096,0.04326372485161456,0.05965839225930725,0.051332420113853416,0.06097637644359377,0.03983029009438041,0.8932389097730988,1997-08-01,0.9022756888899366,,
1997-06-01,82.2285,1997-07-01,81.80363333333332,81.22753333333333,80.53173333333332,79.91008333333333,79.33734666666668,78.68565555555556,78.14803333333333,77.66515833333332,79.66364715277778,0.9922454087791857,81.334,79.7143,78.5532,77.6669,75.7631,75.1755,74.7937,73.8602,0.005774132998909609,0.018983210457011346,0.025187176758341145,0.028882102070938,0.04717661588117017,0.046692812891907076,0.04484780580895631,0.051515678719165736,0.033632441948299924,0.8166974565779357,1997-07-01,0.8326563613235038,,
1997-05-01,81.8293,1997-06-01,81.50546666666666,80.8085,80.12336666666664,79.52994999999999,78.90632,78.29382222222222,77.79399523809522,77.31647916666665,79.28473749503968,0.9919819815337133,80.793,79.1996,78.016,77.0161,75.8344,74.8897,74.495,73.6104,0.008818420737770172,0.020314496537861215,0.027011980448454542,0.032640577749327715,0.040508265378245145,0.04545514566385256,0.04428478740982911,0.0503472222222221,0.03367261201844532,0.8150234818800403,1997-06-01,0.8311106182121925,,
1997-04-01,81.3531,1997-05-01,81.16003333333333,80.37021666666665,79.69966666666666,79.12885,78.50666,77.90828888888888,77.44474285714284,76.974025,78.89906042658728,0.9916641541592487,79.8273,78.5065,77.5662,76.4562,74.6841,74.7017,73.5664,73.3612,0.016695207445740268,0.023739647884782222,0.02750510746519308,0.03495661568322794,0.051183049671884584,0.04292524653239305,0.052718943119995476,0.04924708156355129,0.03737136242084599,0.8611368612737829,1997-05-01,0.8730029788088253,,
1997-03-01,81.334,1997-04-01,80.65143333333333,79.89578333333334,79.2789,78.72077499999999,78.06205999999999,77.53876666666666,77.07394761904762,76.64102916666667,78.48283688988096,0.9912150081041669,79.7143,78.5532,77.6669,75.7631,75.1755,74.7937,73.8602,73.4081,0.011756150820283695,0.017091389444775507,0.020755302451880953,0.039038463315254956,0.03839761624465399,0.036701843426206526,0.04351122281076414,0.04404049643931218,0.03141156061914149,0.7773227222568189,1997-04-01,0.7967674755156686,,
1997-02-01,80.793,1997-03-01,80.11153333333333,79.43231666666667,78.87144444444442,78.25653333333332,77.65149333333332,77.17541666666665,76.71805238095237,76.31078333333333,78.06594668650791,0.9907077101307944,79.1996,78.016,77.0161,75.8344,74.8897,74.495,73.6104,73.3025,0.01151436791768301,0.0181541820481268,0.02409034532317822,0.03193977051751351,0.036878146572002724,0.03598116204666946,0.04221757225816414,0.04103930061503136,0.030226855912296152,0.7564858183665066,1997-03-01,0.7777787176178055,,
