district,label,row,column,53
NY08,,7,41,
NY09,,7,42,
NY10,,7,43,
NY11,,7,44,
NY12,,8,38,
NY13,,8,39,
NY14,,8,40,
NY15,,8,41,
NY16,,8,42,
NY17,,8,43,
NY18,,8,44,
NY19,,9,37,
NY20,,9,38,
NY21,,9,39,
NY22,,9,40,
NY23,,9,41,
NY24,,9,42,
NY25,,9,43,
NY26,,9,44,
NY27,,9,45,
OH,OH,11,33,
OH01,,12,32,
OH02,,12,33,
OH03,,12,34,
OH04,,12,35,
OH05,,13,32,
OH06,,13,33,
OH07,,13,34,
OH08,,13,35,
OH09,,14,32,
OH10,,14,33,
OH11,,14,34,
OH12,,14,35,
OH13,,15,32,
OH14,,15,33,
OH15,,15,34,
OH16,,15,35,
OK,OK,19,16,
OK01,,18,16,
OK02,,18,17,
OK03,,18,18,
OK04,,19,17,
OK05,,19,18,
OR,OR,13,3,
OR01,,13,4,
OR02,,13,5,
OR03,,13,6,
OR04,,13,7,
OR05,,13,8,
PA,PA,11,36,
PA01,,11,37,
PA02,,11,38,
PA03,,11,39,
PA04,,11,40,
PA05,,11,41,
PA06,,11,42,
PA07,,12,37,
PA08,,12,38,
PA09,,12,39,
PA10,,12,40,
PA11,,12,41,
PA12,,12,42,
PA13,,13,37,
PA14,,13,38,
PA15,,13,39,
PA16,,13,40,
PA17,,13,41,
PA18,,13,42,
RI,RI,10,52,
RI01,,10,51,
RI02,,11,51,
SC,SC,24,39,
SC01,,23,36,
SC02,,23,37,
SC03,,23,38,
SC04,,24,37,
SC05,,24,38,
SC06,,25,37,
SC07,,25,38,
SD,SD,12,16,
SD00,,12,17,
TN,TN,22,29,
TN01,,21,25,
TN02,,21,26,
TN03,,21,27,
TN04,,21,28,
TN05,,21,29,
TN06,,22,25,
TN07,,22,26,
TN08,,22,27,
TN09,,22,28,
TX,TX,22,17,
TX01,,21,15,
TX02,,21,16,
TX03,,22,15,
TX04,,22,16,
TX05,,23,15,
TX06,,23,16,
TX07,,23,17,
TX08,,23,18,
TX09,,23,19,
TX10,,23,20,
TX12,,24,13,
TX13,,24,14,
TX14,,24,15,
TX15,,24,16,
TX16,,24,17,
TX17,,24,18,
TX18,,24,19,
TX19,,24,20,
TX20,,25,14,
TX21,,25,15,
TX22,,25,16,
TX23,,25,17,
TX24,,25,18,
TX25,,25,19,
TX26,,25,20,
TX27,,26,15,
TX28,,26,16,
TX29,,26,17,
TX30,,26,18,
TX31,,26,19,
TX32,,26,20,
TX33,,27,16,
TX34,,27,17,
TX35,,27,18,
TX36,,28,17,
UT,UT,19,10,
