prob,state,trumpv,density,trumpvote,demv,demvote,stdev
0.91,Texas,61.71490772,0.024983174,53,57.71490772,49,6.5
0.92,Texas,62.13296514,0.022871727,53,58.13296514,49,6.5
0.93,Texas,62.59264168,0.020656602,53,58.59264168,49,6.5
0.94,Texas,63.10602836,0.01832661,53,59.10602836,49,6.5
0.95,Texas,63.69154858,0.015867022,53,59.69154858,49,6.5
0.96,Texas,64.37945946,0.013257504,53,60.37945946,49,6.5
0.97,Texas,65.22515845,0.010467993,53,61.22515845,49,6.5
0.98,Texas,66.34936792,0.007448944,53,62.34936792,49,6.5
0.99,Texas,68.12126118,0.00410033,53,64.12126118,49,6.5
0.995,Texas,69.74289047,0.002224576,53,65.74289047,49,6.5
0.999,Texas,73.08650999,0.000518014,53,69.08650999,49,6.5
0.9999,Texas,77.17360716,6.08997E-05,53,73.17360716,49,6.5
