date,Biden,Bloomberg,Booker,Buttigieg,Klobuchar,Sanders,Steyer,Warren,Yang
2019-06-01,56.37,0,3.26,5.7700000000000005,2.73,17.73,2.04,7.24,2.42
2019-06-04,52.64,0,3.54,6.87,3.16,16.59,2.63,8.66,2.92
2019-06-07,52.75,0,3.05,7.03,2.9499999999999997,17.48,2.39,8.55,2.83
2019-06-10,50.529999999999994,0,3.15,7.41,3.1300000000000003,17.86,2.4699999999999998,9.39,3.26
2019-06-13,50.06,0,3.37,7.04,3.3099999999999996,17.68,2.29,10.43,2.92
